Category: All categories

Month,Stiff big toe: (Stiff big toe)
2014-01,52
2014-02,54
2014-03,52
2014-04,55
2014-05,63
2014-06,72
2014-07,61
2014-08,73
2014-09,0
2014-10,45
2014-11,60
2014-12,43
2015-01,52
2015-02,0
2015-03,55
2015-04,0
2015-05,0
2015-06,82
2015-07,67
2015-08,66
2015-09,51
2015-10,54
2015-11,61
2015-12,0
2016-01,55
2016-02,41
2016-03,54
2016-04,55
2016-05,84
2016-06,66
2016-07,56
2016-08,52
2016-09,50
2016-10,57
2016-11,60
2016-12,32
2017-01,58
2017-02,50
2017-03,50
2017-04,60
2017-05,60
2017-06,63
2017-07,78
2017-08,57
2017-09,39
2017-10,67
2017-11,53
2017-12,75
2018-01,59
2018-02,41
2018-03,60
2018-04,58
2018-05,67
2018-06,65
2018-07,80
2018-08,55
2018-09,60
2018-10,71
2018-11,49
2018-12,69
2019-01,51
2019-02,59
2019-03,48
2019-04,58
2019-05,84
2019-06,68
2019-07,63
2019-08,71
2019-09,68
2019-10,72
2019-11,38
2019-12,59
2020-01,66
2020-02,53
2020-03,60
2020-04,48
2020-05,50
2020-06,65
2020-07,72
2020-08,58
2020-09,50
2020-10,69
2020-11,29
2020-12,43
2021-01,57
2021-02,45
2021-03,35
2021-04,75
2021-05,60
2021-06,61
2021-07,68
2021-08,68
2021-09,72
2021-10,79
2021-11,46
2021-12,58
2022-01,58
2022-02,59
2022-03,67
2022-04,65
2022-05,73
2022-06,58
2022-07,85
2022-08,87
2022-09,62
2022-10,61
2022-11,52
2022-12,69
2023-01,54
2023-02,67
2023-03,70
2023-04,92
2023-05,100
2023-06,61
2023-07,58
2023-08,83
2023-09,73
2023-10,79
2023-11,43
2023-12,54
2024-01,53
2024-02,71
2024-03,52
2024-04,81
2024-05,87
2024-06,64
2024-07,82
2024-08,72
2024-09,56
2024-10,82
2024-11,79
2024-12,67
