Category: All categories

Month,big toe joint pain: (big toe joint pain)
2014-01,59
2014-02,46
2014-03,55
2014-04,60
2014-05,69
2014-06,67
2014-07,74
2014-08,70
2014-09,72
2014-10,70
2014-11,56
2014-12,64
2015-01,66
2015-02,57
2015-03,63
2015-04,68
2015-05,56
2015-06,64
2015-07,77
2015-08,71
2015-09,63
2015-10,61
2015-11,53
2015-12,53
2016-01,56
2016-02,61
2016-03,71
2016-04,76
2016-05,74
2016-06,67
2016-07,68
2016-08,69
2016-09,65
2016-10,69
2016-11,63
2016-12,54
2017-01,68
2017-02,67
2017-03,65
2017-04,79
2017-05,81
2017-06,79
2017-07,78
2017-08,75
2017-09,80
2017-10,81
2017-11,81
2017-12,71
2018-01,69
2018-02,77
2018-03,80
2018-04,81
2018-05,93
2018-06,91
2018-07,94
2018-08,87
2018-09,72
2018-10,82
2018-11,63
2018-12,59
2019-01,56
2019-02,57
2019-03,59
2019-04,68
2019-05,86
2019-06,95
2019-07,88
2019-08,84
2019-09,84
2019-10,93
2019-11,75
2019-12,76
2020-01,78
2020-02,84
2020-03,69
2020-04,71
2020-05,79
2020-06,81
2020-07,88
2020-08,70
2020-09,79
2020-10,76
2020-11,68
2020-12,81
2021-01,73
2021-02,78
2021-03,73
2021-04,82
2021-05,78
2021-06,86
2021-07,81
2021-08,79
2021-09,75
2021-10,74
2021-11,80
2021-12,73
2022-01,78
2022-02,74
2022-03,78
2022-04,83
2022-05,91
2022-06,92
2022-07,91
2022-08,93
2022-09,86
2022-10,78
2022-11,81
2022-12,77
2023-01,81
2023-02,86
2023-03,79
2023-04,95
2023-05,100
2023-06,100
2023-07,94
2023-08,92
2023-09,87
2023-10,81
2023-11,87
2023-12,73
2024-01,81
2024-02,83
2024-03,82
2024-04,85
2024-05,88
2024-06,94
2024-07,87
2024-08,79
2024-09,79
2024-10,80
2024-11,71
2024-12,78
