Category: All categories

Month,NSAID: (NSAID)
2014-01,36
2014-02,39
2014-03,35
2014-04,38
2014-05,36
2014-06,35
2014-07,35
2014-08,34
2014-09,38
2014-10,38
2014-11,36
2014-12,34
2015-01,33
2015-02,38
2015-03,39
2015-04,40
2015-05,36
2015-06,35
2015-07,53
2015-08,43
2015-09,41
2015-10,40
2015-11,38
2015-12,36
2016-01,36
2016-02,40
2016-03,46
2016-04,39
2016-05,40
2016-06,41
2016-07,38
2016-08,38
2016-09,44
2016-10,39
2016-11,41
2016-12,35
2017-01,36
2017-02,41
2017-03,42
2017-04,45
2017-05,46
2017-06,39
2017-07,40
2017-08,41
2017-09,44
2017-10,42
2017-11,45
2017-12,43
2018-01,40
2018-02,43
2018-03,43
2018-04,49
2018-05,43
2018-06,43
2018-07,43
2018-08,45
2018-09,42
2018-10,43
2018-11,43
2018-12,41
2019-01,44
2019-02,47
2019-03,46
2019-04,47
2019-05,47
2019-06,44
2019-07,43
2019-08,46
2019-09,49
2019-10,48
2019-11,47
2019-12,46
2020-01,50
2020-02,51
2020-03,100
2020-04,56
2020-05,43
2020-06,45
2020-07,44
2020-08,43
2020-09,47
2020-10,46
2020-11,43
2020-12,44
2021-01,47
2021-02,52
2021-03,56
2021-04,56
2021-05,47
2021-06,47
2021-07,47
2021-08,45
2021-09,46
2021-10,45
2021-11,50
2021-12,49
2022-01,52
2022-02,57
2022-03,66
2022-04,63
2022-05,58
2022-06,57
2022-07,57
2022-08,56
2022-09,60
2022-10,65
2022-11,61
2022-12,56
2023-01,59
2023-02,66
2023-03,69
2023-04,65
2023-05,65
2023-06,64
2023-07,59
2023-08,63
2023-09,66
2023-10,72
2023-11,72
2023-12,68
2024-01,66
2024-02,74
2024-03,68
2024-04,68
2024-05,67
2024-06,69
2024-07,66
2024-08,65
2024-09,67
2024-10,71
2024-11,65
2024-12,68
