Category: All categories

Month,gout Diabetes: (gout Diabetes)
2014-01,62
2014-02,71
2014-03,84
2014-04,67
2014-05,66
2014-06,77
2014-07,82
2014-08,79
2014-09,75
2014-10,68
2014-11,69
2014-12,72
2015-01,58
2015-02,64
2015-03,68
2015-04,63
2015-05,70
2015-06,80
2015-07,78
2015-08,69
2015-09,75
2015-10,73
2015-11,69
2015-12,82
2016-01,61
2016-02,64
2016-03,68
2016-04,74
2016-05,76
2016-06,69
2016-07,48
2016-08,53
2016-09,60
2016-10,63
2016-11,59
2016-12,57
2017-01,74
2017-02,73
2017-03,65
2017-04,73
2017-05,69
2017-06,79
2017-07,83
2017-08,71
2017-09,74
2017-10,70
2017-11,74
2017-12,70
2018-01,83
2018-02,80
2018-03,89
2018-04,93
2018-05,83
2018-06,73
2018-07,72
2018-08,80
2018-09,83
2018-10,79
2018-11,68
2018-12,82
2019-01,83
2019-02,87
2019-03,74
2019-04,77
2019-05,84
2019-06,76
2019-07,74
2019-08,68
2019-09,78
2019-10,80
2019-11,67
2019-12,74
2020-01,60
2020-02,84
2020-03,63
2020-04,85
2020-05,80
2020-06,73
2020-07,79
2020-08,64
2020-09,73
2020-10,76
2020-11,74
2020-12,75
2021-01,70
2021-02,82
2021-03,68
2021-04,84
2021-05,73
2021-06,66
2021-07,70
2021-08,66
2021-09,62
2021-10,72
2021-11,62
2021-12,58
2022-01,95
2022-02,91
2022-03,81
2022-04,92
2022-05,91
2022-06,92
2022-07,88
2022-08,89
2022-09,93
2022-10,72
2022-11,76
2022-12,77
2023-01,81
2023-02,90
2023-03,75
2023-04,87
2023-05,100
2023-06,94
2023-07,86
2023-08,83
2023-09,92
2023-10,74
2023-11,81
2023-12,76
2024-01,85
2024-02,95
2024-03,82
2024-04,99
2024-05,89
2024-06,83
2024-07,73
2024-08,78
2024-09,84
2024-10,83
2024-11,85
2024-12,79
