Category: All categories

Month,gout Attack: (gout Attack)
2014-01,56
2014-02,56
2014-03,62
2014-04,67
2014-05,74
2014-06,83
2014-07,83
2014-08,62
2014-09,59
2014-10,57
2014-11,49
2014-12,61
2015-01,59
2015-02,46
2015-03,67
2015-04,58
2015-05,61
2015-06,64
2015-07,73
2015-08,67
2015-09,59
2015-10,54
2015-11,61
2015-12,56
2016-01,61
2016-02,65
2016-03,72
2016-04,75
2016-05,73
2016-06,83
2016-07,72
2016-08,67
2016-09,78
2016-10,66
2016-11,62
2016-12,67
2017-01,78
2017-02,76
2017-03,77
2017-04,81
2017-05,77
2017-06,84
2017-07,91
2017-08,86
2017-09,77
2017-10,71
2017-11,74
2017-12,70
2018-01,89
2018-02,90
2018-03,89
2018-04,85
2018-05,88
2018-06,100
2018-07,97
2018-08,85
2018-09,78
2018-10,80
2018-11,71
2018-12,80
2019-01,84
2019-02,93
2019-03,83
2019-04,82
2019-05,92
2019-06,86
2019-07,97
2019-08,85
2019-09,86
2019-10,84
2019-11,77
2019-12,79
2020-01,85
2020-02,82
2020-03,74
2020-04,82
2020-05,76
2020-06,88
2020-07,83
2020-08,79
2020-09,65
2020-10,72
2020-11,62
2020-12,63
2021-01,68
2021-02,78
2021-03,72
2021-04,74
2021-05,67
2021-06,76
2021-07,75
2021-08,74
2021-09,65
2021-10,69
2021-11,63
2021-12,60
2022-01,68
2022-02,75
2022-03,73
2022-04,63
2022-05,69
2022-06,81
2022-07,73
2022-08,73
2022-09,73
2022-10,62
2022-11,60
2022-12,59
2023-01,63
2023-02,72
2023-03,70
2023-04,74
2023-05,73
2023-06,78
2023-07,84
2023-08,62
2023-09,66
2023-10,60
2023-11,65
2023-12,68
2024-01,71
2024-02,70
2024-03,67
2024-04,72
2024-05,70
2024-06,74
2024-07,68
2024-08,74
2024-09,66
2024-10,68
2024-11,72
2024-12,65
