Category: All categories

Month,gout Diet: (gout Diet)
2014-01,82
2014-02,75
2014-03,78
2014-04,94
2014-05,93
2014-06,88
2014-07,100
2014-08,83
2014-09,80
2014-10,78
2014-11,68
2014-12,77
2015-01,85
2015-02,72
2015-03,79
2015-04,87
2015-05,86
2015-06,85
2015-07,79
2015-08,80
2015-09,72
2015-10,75
2015-11,70
2015-12,69
2016-01,64
2016-02,59
2016-03,72
2016-04,78
2016-05,76
2016-06,84
2016-07,76
2016-08,76
2016-09,73
2016-10,67
2016-11,57
2016-12,58
2017-01,66
2017-02,71
2017-03,75
2017-04,71
2017-05,69
2017-06,67
2017-07,76
2017-08,71
2017-09,72
2017-10,59
2017-11,60
2017-12,59
2018-01,68
2018-02,62
2018-03,67
2018-04,65
2018-05,69
2018-06,70
2018-07,68
2018-08,58
2018-09,62
2018-10,53
2018-11,55
2018-12,57
2019-01,66
2019-02,65
2019-03,67
2019-04,76
2019-05,75
2019-06,73
2019-07,71
2019-08,68
2019-09,71
2019-10,62
2019-11,62
2019-12,64
2020-01,68
2020-02,63
2020-03,57
2020-04,56
2020-05,62
2020-06,60
2020-07,63
2020-08,61
2020-09,54
2020-10,53
2020-11,48
2020-12,46
2021-01,52
2021-02,53
2021-03,49
2021-04,50
2021-05,51
2021-06,55
2021-07,52
2021-08,46
2021-09,47
2021-10,45
2021-11,40
2021-12,39
2022-01,43
2022-02,44
2022-03,51
2022-04,49
2022-05,45
2022-06,48
2022-07,48
2022-08,48
2022-09,40
2022-10,40
2022-11,34
2022-12,38
2023-01,39
2023-02,41
2023-03,41
2023-04,39
2023-05,38
2023-06,42
2023-07,40
2023-08,35
2023-09,32
2023-10,32
2023-11,30
2023-12,32
2024-01,32
2024-02,34
2024-03,34
2024-04,33
2024-05,34
2024-06,34
2024-07,37
2024-08,32
2024-09,31
2024-10,33
2024-11,30
2024-12,31
