Category: All categories

Month,gout Symptoms: (gout Symptoms)
2014-01,40
2014-02,33
2014-03,33
2014-04,61
2014-05,64
2014-06,42
2014-07,41
2014-08,54
2014-09,81
2014-10,73
2014-11,38
2014-12,35
2015-01,38
2015-02,52
2015-03,67
2015-04,36
2015-05,36
2015-06,55
2015-07,100
2015-08,42
2015-09,37
2015-10,42
2015-11,73
2015-12,73
2016-01,56
2016-02,64
2016-03,36
2016-04,52
2016-05,66
2016-06,42
2016-07,39
2016-08,42
2016-09,74
2016-10,51
2016-11,29
2016-12,50
2017-01,49
2017-02,66
2017-03,35
2017-04,38
2017-05,65
2017-06,43
2017-07,71
2017-08,45
2017-09,64
2017-10,52
2017-11,44
2017-12,84
2018-01,95
2018-02,53
2018-03,36
2018-04,38
2018-05,43
2018-06,53
2018-07,77
2018-08,65
2018-09,73
2018-10,68
2018-11,36
2018-12,35
2019-01,43
2019-02,49
2019-03,37
2019-04,39
2019-05,70
2019-06,63
2019-07,58
2019-08,47
2019-09,78
2019-10,47
2019-11,44
2019-12,54
2020-01,63
2020-02,44
2020-03,39
2020-04,48
2020-05,54
2020-06,59
2020-07,65
2020-08,46
2020-09,78
2020-10,76
2020-11,78
2020-12,75
2021-01,71
2021-02,75
2021-03,70
2021-04,77
2021-05,77
2021-06,83
2021-07,82
2021-08,83
2021-09,76
2021-10,73
2021-11,75
2021-12,79
2022-01,73
2022-02,79
2022-03,77
2022-04,73
2022-05,82
2022-06,80
2022-07,85
2022-08,83
2022-09,73
2022-10,73
2022-11,75
2022-12,80
2023-01,76
2023-02,76
2023-03,75
2023-04,82
2023-05,79
2023-06,81
2023-07,77
2023-08,78
2023-09,75
2023-10,70
2023-11,69
2023-12,69
2024-01,74
2024-02,67
2024-03,64
2024-04,73
2024-05,72
2024-06,77
2024-07,72
2024-08,72
2024-09,67
2024-10,71
2024-11,66
2024-12,70
