Category: All categories

Month,gout High Blood Pressure: (gout High Blood Pressure)
2014-01,52
2014-02,51
2014-03,52
2014-04,72
2014-05,48
2014-06,67
2014-07,0
2014-08,60
2014-09,0
2014-10,50
2014-11,43
2014-12,42
2015-01,49
2015-02,42
2015-03,68
2015-04,42
2015-05,71
2015-06,48
2015-07,48
2015-08,60
2015-09,52
2015-10,47
2015-11,56
2015-12,44
2016-01,50
2016-02,42
2016-03,63
2016-04,61
2016-05,51
2016-06,49
2016-07,46
2016-08,58
2016-09,41
2016-10,43
2016-11,46
2016-12,53
2017-01,55
2017-02,66
2017-03,52
2017-04,46
2017-05,78
2017-06,85
2017-07,46
2017-08,0
2017-09,46
2017-10,52
2017-11,55
2017-12,44
2018-01,59
2018-02,71
2018-03,59
2018-04,77
2018-05,79
2018-06,63
2018-07,64
2018-08,70
2018-09,94
2018-10,53
2018-11,72
2018-12,65
2019-01,67
2019-02,76
2019-03,43
2019-04,47
2019-05,57
2019-06,54
2019-07,57
2019-08,51
2019-09,58
2019-10,66
2019-11,64
2019-12,59
2020-01,71
2020-02,57
2020-03,50
2020-04,56
2020-05,55
2020-06,49
2020-07,61
2020-08,65
2020-09,54
2020-10,71
2020-11,44
2020-12,63
2021-01,61
2021-02,68
2021-03,62
2021-04,0
2021-05,74
2021-06,59
2021-07,44
2021-08,82
2021-09,62
2021-10,69
2021-11,48
2021-12,52
2022-01,71
2022-02,78
2022-03,83
2022-04,74
2022-05,87
2022-06,87
2022-07,59
2022-08,78
2022-09,84
2022-10,49
2022-11,91
2022-12,65
2023-01,95
2023-02,95
2023-03,75
2023-04,85
2023-05,83
2023-06,100
2023-07,82
2023-08,85
2023-09,57
2023-10,50
2023-11,53
2023-12,55
2024-01,77
2024-02,73
2024-03,61
2024-04,58
2024-05,53
2024-06,71
2024-07,71
2024-08,76
2024-09,62
2024-10,87
2024-11,46
2024-12,64
