Category: All categories

Month,gout Treatment: (gout Treatment)
2014-01,63
2014-02,76
2014-03,77
2014-04,69
2014-05,49
2014-06,83
2014-07,100
2014-08,88
2014-09,50
2014-10,49
2014-11,71
2014-12,79
2015-01,75
2015-02,56
2015-03,48
2015-04,70
2015-05,86
2015-06,78
2015-07,53
2015-08,53
2015-09,80
2015-10,73
2015-11,44
2015-12,38
2016-01,44
2016-02,62
2016-03,65
2016-04,55
2016-05,46
2016-06,48
2016-07,63
2016-08,64
2016-09,45
2016-10,41
2016-11,44
2016-12,55
2017-01,53
2017-02,44
2017-03,44
2017-04,60
2017-05,66
2017-06,63
2017-07,56
2017-08,49
2017-09,56
2017-10,70
2017-11,60
2017-12,46
2018-01,46
2018-02,63
2018-03,70
2018-04,61
2018-05,52
2018-06,56
2018-07,69
2018-08,65
2018-09,49
2018-10,50
2018-11,54
2018-12,59
2019-01,46
2019-02,54
2019-03,64
2019-04,76
2019-05,75
2019-06,75
2019-07,76
2019-08,76
2019-09,67
2019-10,58
2019-11,61
2019-12,72
2020-01,69
2020-02,55
2020-03,62
2020-04,69
2020-05,69
2020-06,64
2020-07,65
2020-08,57
2020-09,61
2020-10,65
2020-11,57
2020-12,69
2021-01,65
2021-02,76
2021-03,75
2021-04,79
2021-05,86
2021-06,89
2021-07,83
2021-08,84
2021-09,83
2021-10,72
2021-11,75
2021-12,72
2022-01,75
2022-02,76
2022-03,79
2022-04,75
2022-05,78
2022-06,82
2022-07,84
2022-08,83
2022-09,71
2022-10,70
2022-11,66
2022-12,69
2023-01,70
2023-02,74
2023-03,78
2023-04,79
2023-05,76
2023-06,82
2023-07,79
2023-08,69
2023-09,70
2023-10,64
2023-11,66
2023-12,67
2024-01,66
2024-02,68
2024-03,67
2024-04,69
2024-05,72
2024-06,75
2024-07,68
2024-08,66
2024-09,61
2024-10,64
2024-11,58
2024-12,58
