Category: All categories

Month,NSAID Gout: (NSAID Gout)
2014-01,55
2014-02,0
2014-03,0
2014-04,48
2014-05,53
2014-06,0
2014-07,0
2014-08,43
2014-09,50
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,51
2015-03,0
2015-04,0
2015-05,49
2015-06,0
2015-07,49
2015-08,47
2015-09,0
2015-10,40
2015-11,0
2015-12,43
2016-01,36
2016-02,0
2016-03,43
2016-04,36
2016-05,43
2016-06,45
2016-07,38
2016-08,0
2016-09,34
2016-10,48
2016-11,47
2016-12,29
2017-01,54
2017-02,49
2017-03,47
2017-04,52
2017-05,56
2017-06,36
2017-07,0
2017-08,39
2017-09,55
2017-10,44
2017-11,59
2017-12,32
2018-01,41
2018-02,36
2018-03,54
2018-04,52
2018-05,77
2018-06,37
2018-07,57
2018-08,57
2018-09,55
2018-10,38
2018-11,61
2018-12,40
2019-01,50
2019-02,74
2019-03,62
2019-04,65
2019-05,54
2019-06,43
2019-07,73
2019-08,47
2019-09,0
2019-10,37
2019-11,57
2019-12,44
2020-01,51
2020-02,60
2020-03,44
2020-04,64
2020-05,49
2020-06,51
2020-07,71
2020-08,52
2020-09,44
2020-10,57
2020-11,41
2020-12,32
2021-01,48
2021-02,63
2021-03,58
2021-04,63
2021-05,43
2021-06,67
2021-07,68
2021-08,63
2021-09,59
2021-10,58
2021-11,62
2021-12,46
2022-01,62
2022-02,58
2022-03,71
2022-04,68
2022-05,67
2022-06,79
2022-07,60
2022-08,64
2022-09,63
2022-10,44
2022-11,45
2022-12,51
2023-01,43
2023-02,76
2023-03,100
2023-04,49
2023-05,64
2023-06,67
2023-07,73
2023-08,56
2023-09,49
2023-10,70
2023-11,88
2023-12,60
2024-01,72
2024-02,64
2024-03,61
2024-04,65
2024-05,71
2024-06,88
2024-07,97
2024-08,79
2024-09,91
2024-10,66
2024-11,79
2024-12,84
