Category: All categories

Month,obesity: (obesity)
2014-01,68
2014-02,91
2014-03,89
2014-04,100
2014-05,82
2014-06,58
2014-07,55
2014-08,48
2014-09,74
2014-10,85
2014-11,87
2014-12,69
2015-01,59
2015-02,81
2015-03,81
2015-04,94
2015-05,73
2015-06,55
2015-07,54
2015-08,48
2015-09,70
2015-10,81
2015-11,81
2015-12,63
2016-01,56
2016-02,75
2016-03,74
2016-04,82
2016-05,64
2016-06,50
2016-07,45
2016-08,41
2016-09,61
2016-10,67
2016-11,67
2016-12,52
2017-01,50
2017-02,69
2017-03,74
2017-04,76
2017-05,61
2017-06,48
2017-07,46
2017-08,41
2017-09,56
2017-10,70
2017-11,73
2017-12,53
2018-01,55
2018-02,69
2018-03,71
2018-04,71
2018-05,58
2018-06,48
2018-07,47
2018-08,43
2018-09,58
2018-10,68
2018-11,66
2018-12,51
2019-01,55
2019-02,69
2019-03,65
2019-04,66
2019-05,55
2019-06,46
2019-07,45
2019-08,41
2019-09,56
2019-10,63
2019-11,59
2019-12,47
2020-01,51
2020-02,62
2020-03,56
2020-04,71
2020-05,57
2020-06,48
2020-07,51
2020-08,45
2020-09,58
2020-10,61
2020-11,49
2020-12,43
2021-01,46
2021-02,58
2021-03,68
2021-04,56
2021-05,46
2021-06,45
2021-07,41
2021-08,45
2021-09,52
2021-10,49
2021-11,51
2021-12,42
2022-01,49
2022-02,59
2022-03,60
2022-04,67
2022-05,54
2022-06,48
2022-07,47
2022-08,45
2022-09,53
2022-10,59
2022-11,58
2022-12,49
2023-01,62
2023-02,63
2023-03,64
2023-04,63
2023-05,56
2023-06,51
2023-07,48
2023-08,47
2023-09,55
2023-10,65
2023-11,59
2023-12,53
2024-01,56
2024-02,66
2024-03,67
2024-04,67
2024-05,73
2024-06,75
2024-07,52
2024-08,49
2024-09,62
2024-10,65
2024-11,64
2024-12,54
