Category: All categories

Month,Prednisone: (Prednisone)
2014-01,54
2014-02,54
2014-03,57
2014-04,57
2014-05,57
2014-06,57
2014-07,59
2014-08,57
2014-09,56
2014-10,57
2014-11,53
2014-12,57
2015-01,60
2015-02,55
2015-03,60
2015-04,62
2015-05,60
2015-06,61
2015-07,63
2015-08,64
2015-09,65
2015-10,60
2015-11,58
2015-12,61
2016-01,59
2016-02,60
2016-03,63
2016-04,63
2016-05,64
2016-06,61
2016-07,63
2016-08,60
2016-09,61
2016-10,61
2016-11,57
2016-12,58
2017-01,63
2017-02,66
2017-03,65
2017-04,64
2017-05,64
2017-06,65
2017-07,66
2017-08,64
2017-09,64
2017-10,66
2017-11,69
2017-12,68
2018-01,73
2018-02,75
2018-03,71
2018-04,70
2018-05,74
2018-06,73
2018-07,74
2018-08,73
2018-09,71
2018-10,72
2018-11,71
2018-12,73
2019-01,76
2019-02,79
2019-03,80
2019-04,76
2019-05,78
2019-06,78
2019-07,73
2019-08,73
2019-09,76
2019-10,79
2019-11,77
2019-12,80
2020-01,90
2020-02,85
2020-03,79
2020-04,66
2020-05,62
2020-06,69
2020-07,71
2020-08,66
2020-09,67
2020-10,70
2020-11,65
2020-12,68
2021-01,70
2021-02,67
2021-03,67
2021-04,73
2021-05,72
2021-06,76
2021-07,80
2021-08,89
2021-09,80
2021-10,75
2021-11,77
2021-12,86
2022-01,100
2022-02,84
2022-03,86
2022-04,87
2022-05,86
2022-06,92
2022-07,93
2022-08,89
2022-09,85
2022-10,85
2022-11,97
2022-12,94
2023-01,90
2023-02,95
2023-03,95
2023-04,91
2023-05,96
2023-06,95
2023-07,89
2023-08,85
2023-09,87
2023-10,91
2023-11,93
2023-12,97
2024-01,92
2024-02,91
2024-03,83
2024-04,88
2024-05,87
2024-06,88
2024-07,85
2024-08,88
2024-09,85
2024-10,88
2024-11,89
2024-12,96
