Category: All categories

Month,Pain Big Toe: (Pain Big Toe)
2014-01,56
2014-02,53
2014-03,54
2014-04,63
2014-05,70
2014-06,66
2014-07,66
2014-08,64
2014-09,62
2014-10,60
2014-11,54
2014-12,53
2015-01,57
2015-02,54
2015-03,63
2015-04,67
2015-05,68
2015-06,71
2015-07,75
2015-08,68
2015-09,65
2015-10,64
2015-11,60
2015-12,59
2016-01,66
2016-02,68
2016-03,75
2016-04,78
2016-05,78
2016-06,78
2016-07,73
2016-08,71
2016-09,70
2016-10,69
2016-11,62
2016-12,61
2017-01,69
2017-02,68
2017-03,72
2017-04,78
2017-05,83
2017-06,84
2017-07,84
2017-08,82
2017-09,81
2017-10,76
2017-11,78
2017-12,74
2018-01,76
2018-02,81
2018-03,82
2018-04,85
2018-05,88
2018-06,91
2018-07,92
2018-08,92
2018-09,84
2018-10,79
2018-11,79
2018-12,81
2019-01,84
2019-02,78
2019-03,86
2019-04,86
2019-05,87
2019-06,93
2019-07,89
2019-08,89
2019-09,84
2019-10,83
2019-11,78
2019-12,78
2020-01,85
2020-02,83
2020-03,70
2020-04,76
2020-05,83
2020-06,80
2020-07,84
2020-08,81
2020-09,74
2020-10,74
2020-11,66
2020-12,73
2021-01,77
2021-02,80
2021-03,78
2021-04,81
2021-05,82
2021-06,86
2021-07,84
2021-08,83
2021-09,76
2021-10,76
2021-11,74
2021-12,73
2022-01,79
2022-02,82
2022-03,85
2022-04,83
2022-05,83
2022-06,96
2022-07,96
2022-08,87
2022-09,86
2022-10,82
2022-11,82
2022-12,79
2023-01,86
2023-02,88
2023-03,88
2023-04,90
2023-05,100
2023-06,92
2023-07,92
2023-08,89
2023-09,87
2023-10,84
2023-11,83
2023-12,80
2024-01,80
2024-02,83
2024-03,85
2024-04,90
2024-05,91
2024-06,98
2024-07,92
2024-08,87
2024-09,83
2024-10,83
2024-11,77
2024-12,84
