Category: All categories

Month,Sudden Big Pain Toe: (Sudden Big Pain Toe)
2014-01,45
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,61
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,54
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,85
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,43
2016-05,50
2016-06,0
2016-07,0
2016-08,50
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,77
2017-03,0
2017-04,64
2017-05,69
2017-06,78
2017-07,53
2017-08,58
2017-09,53
2017-10,58
2017-11,51
2017-12,45
2018-01,50
2018-02,71
2018-03,46
2018-04,40
2018-05,41
2018-06,46
2018-07,41
2018-08,80
2018-09,51
2018-10,43
2018-11,0
2018-12,51
2019-01,75
2019-02,55
2019-03,68
2019-04,42
2019-05,64
2019-06,37
2019-07,61
2019-08,71
2019-09,53
2019-10,39
2019-11,42
2019-12,44
2020-01,47
2020-02,38
2020-03,55
2020-04,47
2020-05,39
2020-06,44
2020-07,78
2020-08,46
2020-09,41
2020-10,44
2020-11,36
2020-12,84
2021-01,46
2021-02,50
2021-03,45
2021-04,48
2021-05,50
2021-06,44
2021-07,50
2021-08,36
2021-09,48
2021-10,0
2021-11,42
2021-12,44
2022-01,43
2022-02,48
2022-03,56
2022-04,48
2022-05,0
2022-06,55
2022-07,53
2022-08,51
2022-09,59
2022-10,66
2022-11,51
2022-12,46
2023-01,57
2023-02,56
2023-03,43
2023-04,53
2023-05,93
2023-06,50
2023-07,74
2023-08,65
2023-09,60
2023-10,64
2023-11,45
2023-12,65
2024-01,73
2024-02,78
2024-03,62
2024-04,72
2024-05,80
2024-06,100
2024-07,71
2024-08,66
2024-09,53
2024-10,48
2024-11,72
2024-12,60
