Category: All categories

Month,sore Big Toe: (sore Big Toe)
2014-01,61
2014-02,66
2014-03,62
2014-04,71
2014-05,76
2014-06,72
2014-07,75
2014-08,78
2014-09,73
2014-10,62
2014-11,60
2014-12,62
2015-01,54
2015-02,58
2015-03,65
2015-04,76
2015-05,83
2015-06,73
2015-07,73
2015-08,91
2015-09,76
2015-10,68
2015-11,63
2015-12,67
2016-01,71
2016-02,74
2016-03,82
2016-04,87
2016-05,83
2016-06,79
2016-07,83
2016-08,81
2016-09,70
2016-10,85
2016-11,66
2016-12,69
2017-01,70
2017-02,73
2017-03,75
2017-04,78
2017-05,82
2017-06,95
2017-07,85
2017-08,86
2017-09,70
2017-10,74
2017-11,75
2017-12,86
2018-01,85
2018-02,91
2018-03,81
2018-04,87
2018-05,88
2018-06,78
2018-07,86
2018-08,95
2018-09,76
2018-10,76
2018-11,66
2018-12,83
2019-01,100
2019-02,93
2019-03,89
2019-04,90
2019-05,85
2019-06,83
2019-07,85
2019-08,88
2019-09,76
2019-10,88
2019-11,84
2019-12,77
2020-01,81
2020-02,85
2020-03,68
2020-04,81
2020-05,80
2020-06,86
2020-07,88
2020-08,95
2020-09,65
2020-10,74
2020-11,64
2020-12,66
2021-01,78
2021-02,90
2021-03,76
2021-04,78
2021-05,78
2021-06,75
2021-07,95
2021-08,81
2021-09,70
2021-10,78
2021-11,80
2021-12,71
2022-01,86
2022-02,84
2022-03,92
2022-04,80
2022-05,81
2022-06,92
2022-07,75
2022-08,85
2022-09,70
2022-10,85
2022-11,64
2022-12,91
2023-01,87
2023-02,87
2023-03,93
2023-04,82
2023-05,83
2023-06,97
2023-07,79
2023-08,92
2023-09,80
2023-10,85
2023-11,77
2023-12,78
2024-01,83
2024-02,93
2024-03,85
2024-04,98
2024-05,96
2024-06,89
2024-07,90
2024-08,72
2024-09,69
2024-10,77
2024-11,76
2024-12,75
