Category: All categories

Month,swollen Big Toe: (swollen Big Toe)
2014-01,55
2014-02,57
2014-03,52
2014-04,51
2014-05,64
2014-06,61
2014-07,70
2014-08,62
2014-09,63
2014-10,51
2014-11,44
2014-12,48
2015-01,51
2015-02,56
2015-03,57
2015-04,61
2015-05,51
2015-06,58
2015-07,63
2015-08,77
2015-09,66
2015-10,43
2015-11,52
2015-12,52
2016-01,62
2016-02,55
2016-03,69
2016-04,63
2016-05,72
2016-06,79
2016-07,74
2016-08,65
2016-09,63
2016-10,61
2016-11,54
2016-12,63
2017-01,60
2017-02,59
2017-03,62
2017-04,73
2017-05,72
2017-06,76
2017-07,90
2017-08,76
2017-09,70
2017-10,59
2017-11,76
2017-12,66
2018-01,76
2018-02,66
2018-03,63
2018-04,68
2018-05,89
2018-06,88
2018-07,85
2018-08,78
2018-09,63
2018-10,58
2018-11,57
2018-12,74
2019-01,60
2019-02,78
2019-03,77
2019-04,69
2019-05,82
2019-06,86
2019-07,86
2019-08,79
2019-09,71
2019-10,71
2019-11,71
2019-12,68
2020-01,70
2020-02,70
2020-03,69
2020-04,69
2020-05,80
2020-06,92
2020-07,88
2020-08,77
2020-09,71
2020-10,79
2020-11,62
2020-12,68
2021-01,69
2021-02,77
2021-03,82
2021-04,64
2021-05,79
2021-06,79
2021-07,84
2021-08,77
2021-09,81
2021-10,71
2021-11,64
2021-12,67
2022-01,65
2022-02,87
2022-03,86
2022-04,71
2022-05,86
2022-06,100
2022-07,86
2022-08,82
2022-09,71
2022-10,77
2022-11,66
2022-12,70
2023-01,75
2023-02,73
2023-03,80
2023-04,83
2023-05,88
2023-06,82
2023-07,91
2023-08,87
2023-09,77
2023-10,70
2023-11,75
2023-12,74
2024-01,73
2024-02,77
2024-03,73
2024-04,93
2024-05,89
2024-06,89
2024-07,85
2024-08,71
2024-09,76
2024-10,71
2024-11,67
2024-12,80
