Category: All categories

Month,gout: (Anchorage AK)
2014-01,46
2014-02,44
2014-03,47
2014-04,71
2014-05,61
2014-06,48
2014-07,76
2014-08,62
2014-09,50
2014-10,54
2014-11,71
2014-12,74
2015-01,53
2015-02,53
2015-03,68
2015-04,37
2015-05,65
2015-06,63
2015-07,62
2015-08,60
2015-09,64
2015-10,51
2015-11,43
2015-12,63
2016-01,40
2016-02,43
2016-03,59
2016-04,45
2016-05,48
2016-06,63
2016-07,44
2016-08,50
2016-09,40
2016-10,61
2016-11,44
2016-12,58
2017-01,31
2017-02,48
2017-03,51
2017-04,67
2017-05,78
2017-06,62
2017-07,56
2017-08,62
2017-09,100
2017-10,73
2017-11,42
2017-12,69
2018-01,65
2018-02,51
2018-03,73
2018-04,71
2018-05,74
2018-06,83
2018-07,58
2018-08,59
2018-09,70
2018-10,58
2018-11,66
2018-12,42
2019-01,48
2019-02,48
2019-03,71
2019-04,58
2019-05,48
2019-06,55
2019-07,58
2019-08,58
2019-09,48
2019-10,74
2019-11,69
2019-12,55
2020-01,57
2020-02,78
2020-03,61
2020-04,56
2020-05,69
2020-06,63
2020-07,55
2020-08,46
2020-09,51
2020-10,77
2020-11,45
2020-12,78
2021-01,44
2021-02,67
2021-03,41
2021-04,62
2021-05,66
2021-06,62
2021-07,68
2021-08,73
2021-09,72
2021-10,55
2021-11,68
2021-12,59
2022-01,58
2022-02,63
2022-03,68
2022-04,72
2022-05,51
2022-06,91
2022-07,81
2022-08,86
2022-09,62
2022-10,64
2022-11,68
2022-12,56
2023-01,80
2023-02,63
2023-03,70
2023-04,63
2023-05,38
2023-06,75
2023-07,56
2023-08,56
2023-09,41
2023-10,50
2023-11,46
2023-12,54
2024-01,58
2024-02,68
2024-03,80
2024-04,64
2024-05,72
2024-06,73
2024-07,70
2024-08,87
2024-09,57
2024-10,70
2024-11,69
2024-12,75
