Category: All categories

Month,gout: (Atlanta GA)
2014-01,66
2014-02,66
2014-03,68
2014-04,73
2014-05,75
2014-06,85
2014-07,83
2014-08,71
2014-09,76
2014-10,75
2014-11,75
2014-12,77
2015-01,77
2015-02,63
2015-03,78
2015-04,80
2015-05,77
2015-06,86
2015-07,84
2015-08,79
2015-09,79
2015-10,76
2015-11,79
2015-12,78
2016-01,73
2016-02,72
2016-03,74
2016-04,87
2016-05,77
2016-06,84
2016-07,82
2016-08,77
2016-09,75
2016-10,75
2016-11,74
2016-12,75
2017-01,84
2017-02,78
2017-03,86
2017-04,83
2017-05,87
2017-06,93
2017-07,86
2017-08,80
2017-09,76
2017-10,84
2017-11,73
2017-12,75
2018-01,85
2018-02,90
2018-03,84
2018-04,90
2018-05,90
2018-06,96
2018-07,100
2018-08,84
2018-09,95
2018-10,81
2018-11,74
2018-12,86
2019-01,91
2019-02,83
2019-03,85
2019-04,87
2019-05,88
2019-06,99
2019-07,91
2019-08,93
2019-09,85
2019-10,86
2019-11,76
2019-12,82
2020-01,86
2020-02,87
2020-03,71
2020-04,73
2020-05,81
2020-06,85
2020-07,87
2020-08,79
2020-09,78
2020-10,76
2020-11,75
2020-12,82
2021-01,80
2021-02,83
2021-03,82
2021-04,82
2021-05,87
2021-06,89
2021-07,83
2021-08,81
2021-09,80
2021-10,81
2021-11,85
2021-12,84
2022-01,79
2022-02,82
2022-03,79
2022-04,86
2022-05,91
2022-06,93
2022-07,94
2022-08,85
2022-09,89
2022-10,82
2022-11,79
2022-12,80
2023-01,81
2023-02,92
2023-03,85
2023-04,91
2023-05,94
2023-06,100
2023-07,97
2023-08,85
2023-09,79
2023-10,82
2023-11,75
2023-12,70
2024-01,87
2024-02,79
2024-03,79
2024-04,80
2024-05,83
2024-06,88
2024-07,84
2024-08,79
2024-09,79
2024-10,80
2024-11,94
2024-12,83
