Category: All categories

Month,gout: (Austin TX)
2014-01,75
2014-02,77
2014-03,77
2014-04,80
2014-05,84
2014-06,92
2014-07,87
2014-08,88
2014-09,68
2014-10,86
2014-11,81
2014-12,81
2015-01,80
2015-02,66
2015-03,85
2015-04,76
2015-05,73
2015-06,90
2015-07,72
2015-08,74
2015-09,76
2015-10,85
2015-11,67
2015-12,78
2016-01,71
2016-02,63
2016-03,69
2016-04,72
2016-05,78
2016-06,74
2016-07,80
2016-08,71
2016-09,63
2016-10,82
2016-11,77
2016-12,75
2017-01,75
2017-02,82
2017-03,74
2017-04,87
2017-05,83
2017-06,85
2017-07,99
2017-08,81
2017-09,75
2017-10,84
2017-11,81
2017-12,68
2018-01,87
2018-02,79
2018-03,83
2018-04,85
2018-05,90
2018-06,92
2018-07,86
2018-08,90
2018-09,82
2018-10,75
2018-11,70
2018-12,87
2019-01,88
2019-02,80
2019-03,86
2019-04,82
2019-05,87
2019-06,94
2019-07,99
2019-08,93
2019-09,86
2019-10,80
2019-11,86
2019-12,83
2020-01,88
2020-02,88
2020-03,88
2020-04,65
2020-05,82
2020-06,87
2020-07,87
2020-08,84
2020-09,70
2020-10,100
2020-11,75
2020-12,76
2021-01,70
2021-02,75
2021-03,83
2021-04,87
2021-05,81
2021-06,84
2021-07,94
2021-08,84
2021-09,71
2021-10,73
2021-11,81
2021-12,82
2022-01,72
2022-02,70
2022-03,78
2022-04,79
2022-05,84
2022-06,84
2022-07,86
2022-08,92
2022-09,80
2022-10,76
2022-11,80
2022-12,86
2023-01,84
2023-02,83
2023-03,83
2023-04,86
2023-05,80
2023-06,94
2023-07,82
2023-08,80
2023-09,79
2023-10,80
2023-11,75
2023-12,81
2024-01,85
2024-02,93
2024-03,87
2024-04,80
2024-05,89
2024-06,98
2024-07,82
2024-08,83
2024-09,82
2024-10,79
2024-11,90
2024-12,89
