Category: All categories

Month,gout: (Nashville TN)
2014-01,68
2014-02,76
2014-03,72
2014-04,87
2014-05,89
2014-06,80
2014-07,99
2014-08,88
2014-09,76
2014-10,81
2014-11,74
2014-12,87
2015-01,88
2015-02,64
2015-03,77
2015-04,93
2015-05,94
2015-06,97
2015-07,83
2015-08,81
2015-09,67
2015-10,75
2015-11,78
2015-12,89
2016-01,84
2016-02,74
2016-03,71
2016-04,76
2016-05,83
2016-06,76
2016-07,76
2016-08,80
2016-09,79
2016-10,89
2016-11,69
2016-12,78
2017-01,90
2017-02,81
2017-03,89
2017-04,82
2017-05,84
2017-06,90
2017-07,92
2017-08,79
2017-09,84
2017-10,86
2017-11,83
2017-12,77
2018-01,83
2018-02,81
2018-03,87
2018-04,87
2018-05,97
2018-06,88
2018-07,100
2018-08,76
2018-09,85
2018-10,81
2018-11,78
2018-12,86
2019-01,86
2019-02,93
2019-03,86
2019-04,97
2019-05,88
2019-06,92
2019-07,89
2019-08,86
2019-09,82
2019-10,86
2019-11,75
2019-12,93
2020-01,86
2020-02,81
2020-03,76
2020-04,87
2020-05,81
2020-06,89
2020-07,78
2020-08,82
2020-09,69
2020-10,81
2020-11,74
2020-12,77
2021-01,75
2021-02,76
2021-03,72
2021-04,87
2021-05,79
2021-06,83
2021-07,85
2021-08,83
2021-09,80
2021-10,85
2021-11,90
2021-12,79
2022-01,80
2022-02,85
2022-03,82
2022-04,81
2022-05,85
2022-06,95
2022-07,98
2022-08,82
2022-09,93
2022-10,82
2022-11,75
2022-12,78
2023-01,81
2023-02,81
2023-03,87
2023-04,87
2023-05,86
2023-06,82
2023-07,78
2023-08,80
2023-09,71
2023-10,73
2023-11,79
2023-12,82
2024-01,80
2024-02,73
2024-03,77
2024-04,83
2024-05,98
2024-06,76
2024-07,79
2024-08,75
2024-09,85
2024-10,86
2024-11,88
2024-12,89
