Category: All categories

Month,gout: (Boise ID)
2014-01,64
2014-02,61
2014-03,64
2014-04,55
2014-05,59
2014-06,61
2014-07,71
2014-08,39
2014-09,51
2014-10,67
2014-11,81
2014-12,80
2015-01,48
2015-02,71
2015-03,52
2015-04,61
2015-05,57
2015-06,74
2015-07,74
2015-08,45
2015-09,88
2015-10,63
2015-11,53
2015-12,46
2016-01,62
2016-02,55
2016-03,64
2016-04,59
2016-05,56
2016-06,78
2016-07,58
2016-08,36
2016-09,66
2016-10,74
2016-11,61
2016-12,57
2017-01,60
2017-02,50
2017-03,55
2017-04,73
2017-05,49
2017-06,71
2017-07,63
2017-08,59
2017-09,63
2017-10,63
2017-11,77
2017-12,58
2018-01,61
2018-02,62
2018-03,72
2018-04,87
2018-05,81
2018-06,50
2018-07,79
2018-08,62
2018-09,86
2018-10,81
2018-11,67
2018-12,52
2019-01,65
2019-02,56
2019-03,70
2019-04,78
2019-05,85
2019-06,67
2019-07,77
2019-08,58
2019-09,80
2019-10,60
2019-11,59
2019-12,58
2020-01,60
2020-02,75
2020-03,49
2020-04,52
2020-05,50
2020-06,61
2020-07,61
2020-08,66
2020-09,63
2020-10,61
2020-11,57
2020-12,53
2021-01,68
2021-02,61
2021-03,62
2021-04,65
2021-05,66
2021-06,53
2021-07,92
2021-08,73
2021-09,69
2021-10,60
2021-11,48
2021-12,63
2022-01,64
2022-02,75
2022-03,61
2022-04,70
2022-05,64
2022-06,76
2022-07,100
2022-08,77
2022-09,60
2022-10,73
2022-11,72
2022-12,60
2023-01,65
2023-02,59
2023-03,59
2023-04,92
2023-05,82
2023-06,90
2023-07,69
2023-08,74
2023-09,69
2023-10,57
2023-11,71
2023-12,57
2024-01,69
2024-02,77
2024-03,66
2024-04,70
2024-05,68
2024-06,56
2024-07,100
2024-08,52
2024-09,65
2024-10,56
2024-11,61
2024-12,80
