Category: All categories

Month,gout: (Boston MA-Manchester NH)
2014-01,66
2014-02,57
2014-03,65
2014-04,73
2014-05,77
2014-06,83
2014-07,87
2014-08,79
2014-09,79
2014-10,85
2014-11,73
2014-12,77
2015-01,71
2015-02,60
2015-03,73
2015-04,79
2015-05,80
2015-06,87
2015-07,85
2015-08,79
2015-09,78
2015-10,67
2015-11,76
2015-12,72
2016-01,68
2016-02,64
2016-03,75
2016-04,75
2016-05,80
2016-06,85
2016-07,94
2016-08,84
2016-09,73
2016-10,59
2016-11,68
2016-12,67
2017-01,65
2017-02,70
2017-03,72
2017-04,73
2017-05,75
2017-06,77
2017-07,84
2017-08,82
2017-09,75
2017-10,66
2017-11,68
2017-12,71
2018-01,77
2018-02,76
2018-03,69
2018-04,78
2018-05,86
2018-06,90
2018-07,100
2018-08,99
2018-09,81
2018-10,67
2018-11,68
2018-12,83
2019-01,79
2019-02,82
2019-03,80
2019-04,87
2019-05,85
2019-06,91
2019-07,92
2019-08,89
2019-09,87
2019-10,76
2019-11,69
2019-12,75
2020-01,90
2020-02,83
2020-03,69
2020-04,77
2020-05,84
2020-06,87
2020-07,94
2020-08,89
2020-09,74
2020-10,76
2020-11,75
2020-12,76
2021-01,74
2021-02,80
2021-03,77
2021-04,86
2021-05,82
2021-06,88
2021-07,93
2021-08,82
2021-09,81
2021-10,71
2021-11,76
2021-12,78
2022-01,69
2022-02,76
2022-03,84
2022-04,82
2022-05,85
2022-06,97
2022-07,99
2022-08,100
2022-09,77
2022-10,77
2022-11,71
2022-12,74
2023-01,82
2023-02,84
2023-03,71
2023-04,96
2023-05,90
2023-06,100
2023-07,98
2023-08,94
2023-09,76
2023-10,75
2023-11,74
2023-12,73
2024-01,84
2024-02,82
2024-03,84
2024-04,85
2024-05,94
2024-06,92
2024-07,89
2024-08,87
2024-09,78
2024-10,75
2024-11,73
2024-12,87
