Category: All categories

Month,gout: (Charlotte NC)
2014-01,66
2014-02,65
2014-03,67
2014-04,76
2014-05,79
2014-06,80
2014-07,84
2014-08,68
2014-09,78
2014-10,75
2014-11,54
2014-12,68
2015-01,73
2015-02,62
2015-03,75
2015-04,76
2015-05,79
2015-06,80
2015-07,84
2015-08,88
2015-09,85
2015-10,71
2015-11,70
2015-12,79
2016-01,75
2016-02,72
2016-03,78
2016-04,74
2016-05,78
2016-06,77
2016-07,78
2016-08,74
2016-09,84
2016-10,68
2016-11,67
2016-12,80
2017-01,78
2017-02,76
2017-03,75
2017-04,84
2017-05,77
2017-06,90
2017-07,85
2017-08,80
2017-09,77
2017-10,76
2017-11,79
2017-12,76
2018-01,76
2018-02,80
2018-03,73
2018-04,75
2018-05,85
2018-06,84
2018-07,86
2018-08,78
2018-09,88
2018-10,67
2018-11,69
2018-12,74
2019-01,79
2019-02,75
2019-03,81
2019-04,92
2019-05,82
2019-06,91
2019-07,83
2019-08,87
2019-09,90
2019-10,82
2019-11,74
2019-12,77
2020-01,98
2020-02,82
2020-03,79
2020-04,79
2020-05,74
2020-06,88
2020-07,72
2020-08,74
2020-09,70
2020-10,78
2020-11,80
2020-12,73
2021-01,74
2021-02,71
2021-03,76
2021-04,84
2021-05,83
2021-06,83
2021-07,84
2021-08,77
2021-09,71
2021-10,76
2021-11,73
2021-12,82
2022-01,88
2022-02,74
2022-03,88
2022-04,86
2022-05,80
2022-06,93
2022-07,93
2022-08,93
2022-09,79
2022-10,87
2022-11,84
2022-12,81
2023-01,86
2023-02,97
2023-03,90
2023-04,91
2023-05,97
2023-06,98
2023-07,100
2023-08,86
2023-09,76
2023-10,79
2023-11,84
2023-12,82
2024-01,84
2024-02,79
2024-03,87
2024-04,89
2024-05,93
2024-06,80
2024-07,83
2024-08,86
2024-09,83
2024-10,75
2024-11,82
2024-12,75
