Category: All categories

Month,gout: (Cincinnati OH)
2014-01,57
2014-02,52
2014-03,70
2014-04,76
2014-05,93
2014-06,82
2014-07,74
2014-08,72
2014-09,84
2014-10,82
2014-11,60
2014-12,75
2015-01,70
2015-02,65
2015-03,66
2015-04,75
2015-05,82
2015-06,71
2015-07,81
2015-08,85
2015-09,70
2015-10,59
2015-11,83
2015-12,66
2016-01,76
2016-02,69
2016-03,71
2016-04,76
2016-05,80
2016-06,87
2016-07,84
2016-08,79
2016-09,67
2016-10,81
2016-11,67
2016-12,81
2017-01,88
2017-02,76
2017-03,74
2017-04,80
2017-05,77
2017-06,94
2017-07,83
2017-08,82
2017-09,83
2017-10,70
2017-11,80
2017-12,68
2018-01,89
2018-02,82
2018-03,83
2018-04,83
2018-05,88
2018-06,94
2018-07,90
2018-08,90
2018-09,84
2018-10,78
2018-11,70
2018-12,78
2019-01,70
2019-02,79
2019-03,78
2019-04,83
2019-05,82
2019-06,85
2019-07,88
2019-08,91
2019-09,83
2019-10,84
2019-11,78
2019-12,81
2020-01,77
2020-02,91
2020-03,67
2020-04,73
2020-05,85
2020-06,81
2020-07,82
2020-08,82
2020-09,77
2020-10,78
2020-11,69
2020-12,75
2021-01,75
2021-02,77
2021-03,75
2021-04,82
2021-05,94
2021-06,83
2021-07,81
2021-08,76
2021-09,67
2021-10,80
2021-11,77
2021-12,77
2022-01,82
2022-02,73
2022-03,88
2022-04,79
2022-05,84
2022-06,88
2022-07,88
2022-08,95
2022-09,94
2022-10,83
2022-11,71
2022-12,71
2023-01,82
2023-02,91
2023-03,87
2023-04,77
2023-05,100
2023-06,83
2023-07,84
2023-08,75
2023-09,74
2023-10,68
2023-11,71
2023-12,77
2024-01,71
2024-02,81
2024-03,83
2024-04,77
2024-05,80
2024-06,84
2024-07,94
2024-08,87
2024-09,63
2024-10,63
2024-11,71
2024-12,81
