Category: All categories

Month,gout: (Denver CO)
2014-01,72
2014-02,66
2014-03,75
2014-04,74
2014-05,76
2014-06,89
2014-07,87
2014-08,70
2014-09,75
2014-10,80
2014-11,73
2014-12,73
2015-01,78
2015-02,66
2015-03,73
2015-04,67
2015-05,77
2015-06,89
2015-07,92
2015-08,73
2015-09,71
2015-10,82
2015-11,72
2015-12,80
2016-01,68
2016-02,68
2016-03,75
2016-04,79
2016-05,76
2016-06,78
2016-07,82
2016-08,74
2016-09,78
2016-10,75
2016-11,76
2016-12,76
2017-01,83
2017-02,87
2017-03,71
2017-04,85
2017-05,82
2017-06,90
2017-07,80
2017-08,85
2017-09,78
2017-10,73
2017-11,73
2017-12,71
2018-01,77
2018-02,79
2018-03,79
2018-04,82
2018-05,79
2018-06,86
2018-07,100
2018-08,81
2018-09,84
2018-10,71
2018-11,73
2018-12,81
2019-01,89
2019-02,79
2019-03,87
2019-04,80
2019-05,82
2019-06,96
2019-07,93
2019-08,87
2019-09,80
2019-10,80
2019-11,77
2019-12,83
2020-01,83
2020-02,83
2020-03,73
2020-04,74
2020-05,83
2020-06,88
2020-07,82
2020-08,81
2020-09,64
2020-10,73
2020-11,73
2020-12,82
2021-01,80
2021-02,79
2021-03,78
2021-04,90
2021-05,85
2021-06,86
2021-07,90
2021-08,85
2021-09,77
2021-10,71
2021-11,76
2021-12,72
2022-01,78
2022-02,81
2022-03,81
2022-04,74
2022-05,82
2022-06,96
2022-07,97
2022-08,82
2022-09,86
2022-10,71
2022-11,81
2022-12,79
2023-01,78
2023-02,87
2023-03,79
2023-04,86
2023-05,84
2023-06,89
2023-07,94
2023-08,91
2023-09,78
2023-10,76
2023-11,78
2023-12,85
2024-01,82
2024-02,81
2024-03,83
2024-04,89
2024-05,85
2024-06,91
2024-07,90
2024-08,87
2024-09,89
2024-10,74
2024-11,81
2024-12,97
