Category: All categories

Month,gout: (Dallas-Ft. Worth TX)
2014-01,73
2014-02,73
2014-03,69
2014-04,76
2014-05,79
2014-06,83
2014-07,87
2014-08,82
2014-09,84
2014-10,82
2014-11,75
2014-12,78
2015-01,75
2015-02,73
2015-03,78
2015-04,78
2015-05,83
2015-06,79
2015-07,90
2015-08,83
2015-09,81
2015-10,86
2015-11,84
2015-12,83
2016-01,75
2016-02,71
2016-03,77
2016-04,79
2016-05,75
2016-06,78
2016-07,79
2016-08,75
2016-09,80
2016-10,80
2016-11,69
2016-12,70
2017-01,80
2017-02,69
2017-03,81
2017-04,84
2017-05,87
2017-06,87
2017-07,91
2017-08,84
2017-09,75
2017-10,81
2017-11,77
2017-12,87
2018-01,86
2018-02,91
2018-03,93
2018-04,97
2018-05,92
2018-06,95
2018-07,97
2018-08,92
2018-09,89
2018-10,89
2018-11,89
2018-12,94
2019-01,96
2019-02,95
2019-03,90
2019-04,97
2019-05,95
2019-06,95
2019-07,100
2019-08,97
2019-09,91
2019-10,87
2019-11,87
2019-12,90
2020-01,92
2020-02,85
2020-03,82
2020-04,79
2020-05,75
2020-06,90
2020-07,90
2020-08,81
2020-09,79
2020-10,80
2020-11,83
2020-12,80
2021-01,79
2021-02,81
2021-03,85
2021-04,82
2021-05,84
2021-06,91
2021-07,87
2021-08,84
2021-09,75
2021-10,97
2021-11,80
2021-12,86
2022-01,81
2022-02,82
2022-03,87
2022-04,85
2022-05,87
2022-06,96
2022-07,93
2022-08,89
2022-09,89
2022-10,79
2022-11,80
2022-12,80
2023-01,88
2023-02,90
2023-03,87
2023-04,87
2023-05,91
2023-06,98
2023-07,92
2023-08,92
2023-09,84
2023-10,79
2023-11,74
2023-12,73
2024-01,82
2024-02,78
2024-03,78
2024-04,77
2024-05,79
2024-06,85
2024-07,85
2024-08,77
2024-09,78
2024-10,85
2024-11,77
2024-12,89
