Category: All categories

Month,gout: (Detroit MI)
2014-01,62
2014-02,62
2014-03,61
2014-04,65
2014-05,71
2014-06,91
2014-07,92
2014-08,75
2014-09,72
2014-10,79
2014-11,57
2014-12,75
2015-01,78
2015-02,67
2015-03,70
2015-04,69
2015-05,72
2015-06,78
2015-07,82
2015-08,76
2015-09,72
2015-10,65
2015-11,71
2015-12,71
2016-01,70
2016-02,71
2016-03,70
2016-04,73
2016-05,75
2016-06,71
2016-07,75
2016-08,70
2016-09,75
2016-10,68
2016-11,65
2016-12,67
2017-01,77
2017-02,70
2017-03,78
2017-04,78
2017-05,81
2017-06,81
2017-07,90
2017-08,83
2017-09,75
2017-10,71
2017-11,64
2017-12,73
2018-01,75
2018-02,74
2018-03,81
2018-04,82
2018-05,84
2018-06,89
2018-07,92
2018-08,86
2018-09,82
2018-10,78
2018-11,74
2018-12,77
2019-01,79
2019-02,77
2019-03,81
2019-04,79
2019-05,85
2019-06,84
2019-07,87
2019-08,90
2019-09,86
2019-10,79
2019-11,77
2019-12,86
2020-01,73
2020-02,79
2020-03,61
2020-04,68
2020-05,73
2020-06,79
2020-07,81
2020-08,78
2020-09,69
2020-10,69
2020-11,68
2020-12,72
2021-01,79
2021-02,78
2021-03,77
2021-04,79
2021-05,81
2021-06,87
2021-07,85
2021-08,81
2021-09,72
2021-10,74
2021-11,71
2021-12,78
2022-01,72
2022-02,84
2022-03,89
2022-04,80
2022-05,92
2022-06,89
2022-07,97
2022-08,100
2022-09,87
2022-10,81
2022-11,74
2022-12,78
2023-01,85
2023-02,83
2023-03,84
2023-04,88
2023-05,80
2023-06,95
2023-07,91
2023-08,83
2023-09,74
2023-10,78
2023-11,74
2023-12,78
2024-01,74
2024-02,80
2024-03,76
2024-04,77
2024-05,96
2024-06,91
2024-07,80
2024-08,92
2024-09,77
2024-10,83
2024-11,75
2024-12,83
