Category: All categories

Month,gout: (Houston TX)
2014-01,74
2014-02,78
2014-03,72
2014-04,80
2014-05,84
2014-06,85
2014-07,87
2014-08,77
2014-09,78
2014-10,90
2014-11,84
2014-12,81
2015-01,77
2015-02,85
2015-03,81
2015-04,89
2015-05,80
2015-06,76
2015-07,81
2015-08,88
2015-09,76
2015-10,82
2015-11,73
2015-12,76
2016-01,70
2016-02,75
2016-03,81
2016-04,77
2016-05,78
2016-06,75
2016-07,83
2016-08,78
2016-09,75
2016-10,75
2016-11,68
2016-12,75
2017-01,79
2017-02,84
2017-03,82
2017-04,82
2017-05,85
2017-06,87
2017-07,90
2017-08,81
2017-09,79
2017-10,82
2017-11,83
2017-12,78
2018-01,84
2018-02,85
2018-03,93
2018-04,91
2018-05,86
2018-06,88
2018-07,98
2018-08,88
2018-09,94
2018-10,90
2018-11,74
2018-12,83
2019-01,90
2019-02,91
2019-03,91
2019-04,89
2019-05,86
2019-06,92
2019-07,86
2019-08,86
2019-09,84
2019-10,83
2019-11,85
2019-12,83
2020-01,89
2020-02,93
2020-03,80
2020-04,78
2020-05,81
2020-06,82
2020-07,82
2020-08,77
2020-09,76
2020-10,81
2020-11,76
2020-12,83
2021-01,82
2021-02,75
2021-03,85
2021-04,77
2021-05,82
2021-06,84
2021-07,82
2021-08,80
2021-09,81
2021-10,88
2021-11,88
2021-12,87
2022-01,89
2022-02,87
2022-03,83
2022-04,96
2022-05,86
2022-06,91
2022-07,95
2022-08,87
2022-09,91
2022-10,81
2022-11,78
2022-12,85
2023-01,79
2023-02,85
2023-03,100
2023-04,91
2023-05,88
2023-06,89
2023-07,85
2023-08,86
2023-09,83
2023-10,80
2023-11,85
2023-12,82
2024-01,85
2024-02,86
2024-03,78
2024-04,86
2024-05,85
2024-06,89
2024-07,87
2024-08,86
2024-09,84
2024-10,93
2024-11,89
2024-12,92
