Category: All categories

Month,gout: (Indianapolis IN)
2014-01,80
2014-02,62
2014-03,75
2014-04,91
2014-05,98
2014-06,89
2014-07,98
2014-08,78
2014-09,66
2014-10,90
2014-11,78
2014-12,83
2015-01,92
2015-02,69
2015-03,81
2015-04,78
2015-05,96
2015-06,74
2015-07,85
2015-08,68
2015-09,73
2015-10,67
2015-11,81
2015-12,63
2016-01,64
2016-02,71
2016-03,77
2016-04,72
2016-05,67
2016-06,75
2016-07,85
2016-08,69
2016-09,81
2016-10,76
2016-11,64
2016-12,76
2017-01,72
2017-02,79
2017-03,82
2017-04,89
2017-05,87
2017-06,78
2017-07,93
2017-08,76
2017-09,86
2017-10,76
2017-11,77
2017-12,80
2018-01,76
2018-02,62
2018-03,78
2018-04,86
2018-05,87
2018-06,96
2018-07,89
2018-08,94
2018-09,80
2018-10,83
2018-11,77
2018-12,91
2019-01,85
2019-02,82
2019-03,92
2019-04,79
2019-05,85
2019-06,79
2019-07,95
2019-08,82
2019-09,89
2019-10,83
2019-11,80
2019-12,82
2020-01,86
2020-02,79
2020-03,71
2020-04,75
2020-05,83
2020-06,79
2020-07,77
2020-08,75
2020-09,75
2020-10,78
2020-11,71
2020-12,74
2021-01,82
2021-02,82
2021-03,76
2021-04,84
2021-05,78
2021-06,96
2021-07,83
2021-08,76
2021-09,81
2021-10,86
2021-11,74
2021-12,76
2022-01,82
2022-02,83
2022-03,96
2022-04,88
2022-05,95
2022-06,99
2022-07,93
2022-08,80
2022-09,86
2022-10,82
2022-11,72
2022-12,78
2023-01,89
2023-02,77
2023-03,78
2023-04,90
2023-05,99
2023-06,100
2023-07,90
2023-08,82
2023-09,82
2023-10,86
2023-11,81
2023-12,72
2024-01,93
2024-02,74
2024-03,78
2024-04,79
2024-05,93
2024-06,94
2024-07,93
2024-08,73
2024-09,84
2024-10,74
2024-11,86
2024-12,76
