Category: All categories

Month,gout: (Jacksonville FL)
2014-01,68
2014-02,66
2014-03,59
2014-04,65
2014-05,72
2014-06,69
2014-07,73
2014-08,65
2014-09,60
2014-10,78
2014-11,61
2014-12,61
2015-01,61
2015-02,58
2015-03,65
2015-04,68
2015-05,77
2015-06,80
2015-07,78
2015-08,75
2015-09,76
2015-10,67
2015-11,100
2015-12,53
2016-01,69
2016-02,76
2016-03,57
2016-04,62
2016-05,71
2016-06,71
2016-07,80
2016-08,78
2016-09,61
2016-10,57
2016-11,67
2016-12,61
2017-01,72
2017-02,81
2017-03,65
2017-04,70
2017-05,69
2017-06,67
2017-07,85
2017-08,80
2017-09,63
2017-10,71
2017-11,75
2017-12,65
2018-01,65
2018-02,69
2018-03,70
2018-04,78
2018-05,78
2018-06,76
2018-07,77
2018-08,68
2018-09,67
2018-10,78
2018-11,68
2018-12,79
2019-01,87
2019-02,79
2019-03,83
2019-04,80
2019-05,73
2019-06,83
2019-07,75
2019-08,57
2019-09,64
2019-10,75
2019-11,60
2019-12,78
2020-01,75
2020-02,77
2020-03,64
2020-04,62
2020-05,71
2020-06,66
2020-07,64
2020-08,76
2020-09,73
2020-10,76
2020-11,63
2020-12,67
2021-01,70
2021-02,66
2021-03,71
2021-04,65
2021-05,67
2021-06,74
2021-07,68
2021-08,71
2021-09,68
2021-10,71
2021-11,69
2021-12,67
2022-01,73
2022-02,80
2022-03,68
2022-04,75
2022-05,81
2022-06,77
2022-07,82
2022-08,90
2022-09,67
2022-10,79
2022-11,74
2022-12,72
2023-01,74
2023-02,84
2023-03,84
2023-04,83
2023-05,80
2023-06,75
2023-07,70
2023-08,67
2023-09,70
2023-10,69
2023-11,74
2023-12,70
2024-01,70
2024-02,76
2024-03,66
2024-04,77
2024-05,77
2024-06,75
2024-07,82
2024-08,63
2024-09,63
2024-10,71
2024-11,76
2024-12,73
