Category: All categories

Month,gout: (Las Vegas NV)
2014-01,73
2014-02,65
2014-03,66
2014-04,79
2014-05,77
2014-06,79
2014-07,79
2014-08,58
2014-09,72
2014-10,78
2014-11,59
2014-12,65
2015-01,61
2015-02,85
2015-03,73
2015-04,71
2015-05,87
2015-06,82
2015-07,75
2015-08,75
2015-09,70
2015-10,74
2015-11,62
2015-12,64
2016-01,64
2016-02,62
2016-03,70
2016-04,64
2016-05,68
2016-06,71
2016-07,66
2016-08,71
2016-09,83
2016-10,74
2016-11,65
2016-12,73
2017-01,66
2017-02,76
2017-03,72
2017-04,76
2017-05,77
2017-06,78
2017-07,77
2017-08,73
2017-09,77
2017-10,80
2017-11,78
2017-12,67
2018-01,79
2018-02,84
2018-03,80
2018-04,85
2018-05,85
2018-06,88
2018-07,77
2018-08,77
2018-09,87
2018-10,70
2018-11,69
2018-12,81
2019-01,81
2019-02,77
2019-03,85
2019-04,72
2019-05,79
2019-06,79
2019-07,86
2019-08,76
2019-09,84
2019-10,76
2019-11,80
2019-12,84
2020-01,84
2020-02,80
2020-03,65
2020-04,76
2020-05,81
2020-06,83
2020-07,83
2020-08,79
2020-09,63
2020-10,73
2020-11,59
2020-12,72
2021-01,70
2021-02,75
2021-03,71
2021-04,82
2021-05,78
2021-06,76
2021-07,80
2021-08,81
2021-09,82
2021-10,82
2021-11,79
2021-12,68
2022-01,84
2022-02,82
2022-03,77
2022-04,84
2022-05,87
2022-06,90
2022-07,99
2022-08,88
2022-09,75
2022-10,82
2022-11,75
2022-12,77
2023-01,80
2023-02,92
2023-03,88
2023-04,91
2023-05,96
2023-06,100
2023-07,84
2023-08,93
2023-09,75
2023-10,77
2023-11,71
2023-12,94
2024-01,84
2024-02,83
2024-03,84
2024-04,96
2024-05,85
2024-06,89
2024-07,88
2024-08,93
2024-09,82
2024-10,79
2024-11,86
2024-12,90
