Category: All categories

Month,gout: (Los Angeles CA)
2014-01,66
2014-02,66
2014-03,66
2014-04,74
2014-05,76
2014-06,67
2014-07,81
2014-08,70
2014-09,70
2014-10,76
2014-11,67
2014-12,65
2015-01,67
2015-02,67
2015-03,74
2015-04,68
2015-05,68
2015-06,77
2015-07,75
2015-08,82
2015-09,77
2015-10,68
2015-11,67
2015-12,66
2016-01,69
2016-02,67
2016-03,68
2016-04,68
2016-05,69
2016-06,70
2016-07,77
2016-08,75
2016-09,74
2016-10,69
2016-11,68
2016-12,65
2017-01,69
2017-02,67
2017-03,75
2017-04,77
2017-05,77
2017-06,82
2017-07,86
2017-08,80
2017-09,70
2017-10,68
2017-11,70
2017-12,69
2018-01,73
2018-02,71
2018-03,79
2018-04,81
2018-05,83
2018-06,90
2018-07,86
2018-08,84
2018-09,85
2018-10,74
2018-11,73
2018-12,78
2019-01,85
2019-02,77
2019-03,87
2019-04,86
2019-05,81
2019-06,83
2019-07,88
2019-08,90
2019-09,91
2019-10,80
2019-11,79
2019-12,77
2020-01,79
2020-02,85
2020-03,67
2020-04,75
2020-05,83
2020-06,83
2020-07,85
2020-08,85
2020-09,72
2020-10,76
2020-11,75
2020-12,73
2021-01,74
2021-02,75
2021-03,77
2021-04,81
2021-05,84
2021-06,85
2021-07,89
2021-08,83
2021-09,81
2021-10,68
2021-11,74
2021-12,66
2022-01,77
2022-02,84
2022-03,86
2022-04,83
2022-05,88
2022-06,94
2022-07,95
2022-08,100
2022-09,87
2022-10,82
2022-11,72
2022-12,77
2023-01,82
2023-02,80
2023-03,85
2023-04,91
2023-05,88
2023-06,100
2023-07,99
2023-08,94
2023-09,88
2023-10,86
2023-11,84
2023-12,83
2024-01,85
2024-02,83
2024-03,84
2024-04,87
2024-05,87
2024-06,98
2024-07,97
2024-08,92
2024-09,88
2024-10,88
2024-11,83
2024-12,90
