Category: All categories

Month,gout: (Orlando-Daytona Beach-Melbourne FL)
2014-01,71
2014-02,87
2014-03,73
2014-04,82
2014-05,80
2014-06,80
2014-07,95
2014-08,77
2014-09,89
2014-10,84
2014-11,86
2014-12,75
2015-01,77
2015-02,83
2015-03,92
2015-04,86
2015-05,86
2015-06,83
2015-07,88
2015-08,74
2015-09,84
2015-10,78
2015-11,89
2015-12,81
2016-01,69
2016-02,76
2016-03,74
2016-04,84
2016-05,85
2016-06,74
2016-07,88
2016-08,69
2016-09,83
2016-10,73
2016-11,79
2016-12,78
2017-01,80
2017-02,79
2017-03,87
2017-04,86
2017-05,81
2017-06,82
2017-07,78
2017-08,80
2017-09,68
2017-10,80
2017-11,78
2017-12,79
2018-01,77
2018-02,87
2018-03,93
2018-04,89
2018-05,87
2018-06,85
2018-07,92
2018-08,83
2018-09,86
2018-10,77
2018-11,82
2018-12,85
2019-01,90
2019-02,96
2019-03,97
2019-04,100
2019-05,92
2019-06,80
2019-07,84
2019-08,84
2019-09,82
2019-10,88
2019-11,87
2019-12,79
2020-01,84
2020-02,94
2020-03,79
2020-04,78
2020-05,80
2020-06,81
2020-07,84
2020-08,74
2020-09,79
2020-10,78
2020-11,74
2020-12,73
2021-01,74
2021-02,88
2021-03,77
2021-04,75
2021-05,86
2021-06,80
2021-07,82
2021-08,78
2021-09,76
2021-10,95
2021-11,84
2021-12,91
2022-01,68
2022-02,87
2022-03,88
2022-04,80
2022-05,87
2022-06,89
2022-07,92
2022-08,82
2022-09,83
2022-10,86
2022-11,72
2022-12,68
2023-01,86
2023-02,90
2023-03,99
2023-04,89
2023-05,82
2023-06,85
2023-07,81
2023-08,84
2023-09,85
2023-10,72
2023-11,75
2023-12,85
2024-01,78
2024-02,85
2024-03,87
2024-04,82
2024-05,87
2024-06,93
2024-07,79
2024-08,82
2024-09,83
2024-10,78
2024-11,79
2024-12,77
