Category: All categories

Month,gout: (Miami-Ft. Lauderdale FL)
2014-01,74
2014-02,76
2014-03,64
2014-04,81
2014-05,84
2014-06,80
2014-07,83
2014-08,70
2014-09,81
2014-10,85
2014-11,74
2014-12,93
2015-01,73
2015-02,76
2015-03,82
2015-04,83
2015-05,85
2015-06,86
2015-07,82
2015-08,82
2015-09,75
2015-10,85
2015-11,94
2015-12,79
2016-01,81
2016-02,73
2016-03,75
2016-04,76
2016-05,81
2016-06,71
2016-07,74
2016-08,69
2016-09,77
2016-10,71
2016-11,70
2016-12,80
2017-01,78
2017-02,78
2017-03,81
2017-04,86
2017-05,77
2017-06,80
2017-07,76
2017-08,72
2017-09,71
2017-10,74
2017-11,77
2017-12,79
2018-01,83
2018-02,88
2018-03,86
2018-04,82
2018-05,78
2018-06,79
2018-07,94
2018-08,82
2018-09,89
2018-10,84
2018-11,84
2018-12,92
2019-01,90
2019-02,96
2019-03,90
2019-04,85
2019-05,90
2019-06,94
2019-07,98
2019-08,91
2019-09,91
2019-10,86
2019-11,89
2019-12,93
2020-01,90
2020-02,83
2020-03,81
2020-04,72
2020-05,83
2020-06,86
2020-07,77
2020-08,85
2020-09,73
2020-10,80
2020-11,80
2020-12,77
2021-01,80
2021-02,82
2021-03,78
2021-04,74
2021-05,81
2021-06,86
2021-07,81
2021-08,68
2021-09,83
2021-10,82
2021-11,80
2021-12,82
2022-01,85
2022-02,90
2022-03,92
2022-04,90
2022-05,85
2022-06,88
2022-07,92
2022-08,86
2022-09,87
2022-10,97
2022-11,81
2022-12,78
2023-01,90
2023-02,89
2023-03,91
2023-04,83
2023-05,84
2023-06,87
2023-07,73
2023-08,84
2023-09,82
2023-10,76
2023-11,84
2023-12,93
2024-01,79
2024-02,87
2024-03,86
2024-04,76
2024-05,82
2024-06,86
2024-07,80
2024-08,81
2024-09,82
2024-10,87
2024-11,85
2024-12,100
