Category: All categories

Month,gout: (Madison WI)
2014-01,67
2014-02,61
2014-03,63
2014-04,82
2014-05,81
2014-06,78
2014-07,89
2014-08,82
2014-09,79
2014-10,90
2014-11,81
2014-12,83
2015-01,73
2015-02,89
2015-03,84
2015-04,84
2015-05,78
2015-06,91
2015-07,100
2015-08,77
2015-09,79
2015-10,68
2015-11,92
2015-12,79
2016-01,53
2016-02,68
2016-03,68
2016-04,71
2016-05,71
2016-06,96
2016-07,66
2016-08,96
2016-09,85
2016-10,76
2016-11,85
2016-12,65
2017-01,56
2017-02,88
2017-03,82
2017-04,81
2017-05,80
2017-06,94
2017-07,76
2017-08,83
2017-09,98
2017-10,58
2017-11,60
2017-12,67
2018-01,70
2018-02,63
2018-03,79
2018-04,83
2018-05,92
2018-06,86
2018-07,82
2018-08,86
2018-09,73
2018-10,65
2018-11,61
2018-12,82
2019-01,70
2019-02,51
2019-03,75
2019-04,83
2019-05,65
2019-06,88
2019-07,88
2019-08,100
2019-09,86
2019-10,80
2019-11,75
2019-12,61
2020-01,88
2020-02,75
2020-03,67
2020-04,68
2020-05,76
2020-06,78
2020-07,80
2020-08,66
2020-09,61
2020-10,65
2020-11,63
2020-12,74
2021-01,75
2021-02,81
2021-03,77
2021-04,80
2021-05,88
2021-06,74
2021-07,87
2021-08,92
2021-09,61
2021-10,59
2021-11,80
2021-12,71
2022-01,87
2022-02,67
2022-03,76
2022-04,63
2022-05,92
2022-06,87
2022-07,96
2022-08,100
2022-09,97
2022-10,82
2022-11,57
2022-12,72
2023-01,87
2023-02,85
2023-03,90
2023-04,94
2023-05,93
2023-06,99
2023-07,93
2023-08,86
2023-09,94
2023-10,75
2023-11,97
2023-12,81
2024-01,98
2024-02,92
2024-03,90
2024-04,67
2024-05,76
2024-06,83
2024-07,88
2024-08,88
2024-09,75
2024-10,74
2024-11,78
2024-12,72
