Category: All categories

Month,gout: (Minneapolis-St. Paul MN)
2014-01,68
2014-02,60
2014-03,68
2014-04,71
2014-05,83
2014-06,87
2014-07,87
2014-08,78
2014-09,75
2014-10,81
2014-11,63
2014-12,74
2015-01,69
2015-02,78
2015-03,70
2015-04,81
2015-05,74
2015-06,84
2015-07,84
2015-08,79
2015-09,87
2015-10,72
2015-11,73
2015-12,71
2016-01,74
2016-02,75
2016-03,73
2016-04,72
2016-05,79
2016-06,81
2016-07,86
2016-08,72
2016-09,69
2016-10,74
2016-11,77
2016-12,67
2017-01,71
2017-02,65
2017-03,71
2017-04,86
2017-05,81
2017-06,88
2017-07,95
2017-08,87
2017-09,82
2017-10,76
2017-11,67
2017-12,75
2018-01,89
2018-02,74
2018-03,78
2018-04,81
2018-05,84
2018-06,99
2018-07,97
2018-08,85
2018-09,87
2018-10,77
2018-11,72
2018-12,82
2019-01,86
2019-02,84
2019-03,80
2019-04,85
2019-05,85
2019-06,100
2019-07,94
2019-08,87
2019-09,80
2019-10,81
2019-11,77
2019-12,83
2020-01,82
2020-02,81
2020-03,72
2020-04,75
2020-05,82
2020-06,86
2020-07,85
2020-08,83
2020-09,66
2020-10,75
2020-11,83
2020-12,79
2021-01,77
2021-02,90
2021-03,80
2021-04,85
2021-05,82
2021-06,92
2021-07,90
2021-08,83
2021-09,70
2021-10,78
2021-11,76
2021-12,77
2022-01,75
2022-02,82
2022-03,88
2022-04,85
2022-05,96
2022-06,85
2022-07,94
2022-08,91
2022-09,89
2022-10,88
2022-11,78
2022-12,79
2023-01,82
2023-02,80
2023-03,85
2023-04,94
2023-05,96
2023-06,88
2023-07,95
2023-08,98
2023-09,80
2023-10,84
2023-11,80
2023-12,82
2024-01,85
2024-02,86
2024-03,87
2024-04,88
2024-05,88
2024-06,91
2024-07,94
2024-08,76
2024-09,74
2024-10,79
2024-11,80
2024-12,92
