Category: All categories

Month,gout: (New Orleans LA)
2014-01,67
2014-02,49
2014-03,47
2014-04,86
2014-05,61
2014-06,78
2014-07,81
2014-08,80
2014-09,61
2014-10,88
2014-11,58
2014-12,79
2015-01,79
2015-02,64
2015-03,76
2015-04,78
2015-05,72
2015-06,83
2015-07,84
2015-08,75
2015-09,64
2015-10,63
2015-11,64
2015-12,62
2016-01,60
2016-02,78
2016-03,61
2016-04,62
2016-05,66
2016-06,68
2016-07,58
2016-08,59
2016-09,70
2016-10,63
2016-11,59
2016-12,65
2017-01,65
2017-02,78
2017-03,66
2017-04,74
2017-05,77
2017-06,66
2017-07,72
2017-08,53
2017-09,77
2017-10,65
2017-11,75
2017-12,65
2018-01,55
2018-02,69
2018-03,75
2018-04,78
2018-05,100
2018-06,84
2018-07,93
2018-08,88
2018-09,85
2018-10,62
2018-11,64
2018-12,78
2019-01,77
2019-02,80
2019-03,76
2019-04,90
2019-05,88
2019-06,72
2019-07,78
2019-08,83
2019-09,74
2019-10,77
2019-11,76
2019-12,78
2020-01,63
2020-02,72
2020-03,65
2020-04,71
2020-05,69
2020-06,70
2020-07,80
2020-08,66
2020-09,71
2020-10,63
2020-11,59
2020-12,76
2021-01,57
2021-02,72
2021-03,60
2021-04,68
2021-05,73
2021-06,72
2021-07,88
2021-08,70
2021-09,67
2021-10,68
2021-11,60
2021-12,61
2022-01,63
2022-02,69
2022-03,71
2022-04,80
2022-05,78
2022-06,88
2022-07,86
2022-08,78
2022-09,81
2022-10,78
2022-11,76
2022-12,75
2023-01,67
2023-02,74
2023-03,86
2023-04,84
2023-05,81
2023-06,86
2023-07,65
2023-08,72
2023-09,80
2023-10,82
2023-11,71
2023-12,71
2024-01,69
2024-02,85
2024-03,74
2024-04,86
2024-05,83
2024-06,80
2024-07,74
2024-08,72
2024-09,72
2024-10,70
2024-11,69
2024-12,75
