Category: All categories

Month,gout: (New York NY)
2014-01,64
2014-02,62
2014-03,64
2014-04,70
2014-05,74
2014-06,80
2014-07,83
2014-08,75
2014-09,78
2014-10,83
2014-11,66
2014-12,76
2015-01,75
2015-02,70
2015-03,75
2015-04,79
2015-05,87
2015-06,90
2015-07,89
2015-08,82
2015-09,73
2015-10,70
2015-11,82
2015-12,78
2016-01,70
2016-02,70
2016-03,73
2016-04,74
2016-05,74
2016-06,77
2016-07,84
2016-08,77
2016-09,83
2016-10,71
2016-11,70
2016-12,70
2017-01,77
2017-02,74
2017-03,77
2017-04,83
2017-05,80
2017-06,87
2017-07,90
2017-08,84
2017-09,76
2017-10,75
2017-11,75
2017-12,77
2018-01,78
2018-02,79
2018-03,81
2018-04,82
2018-05,86
2018-06,94
2018-07,96
2018-08,92
2018-09,97
2018-10,80
2018-11,80
2018-12,85
2019-01,85
2019-02,85
2019-03,90
2019-04,84
2019-05,84
2019-06,91
2019-07,86
2019-08,100
2019-09,83
2019-10,80
2019-11,79
2019-12,81
2020-01,87
2020-02,85
2020-03,70
2020-04,79
2020-05,78
2020-06,81
2020-07,83
2020-08,83
2020-09,73
2020-10,76
2020-11,70
2020-12,70
2021-01,76
2021-02,80
2021-03,73
2021-04,76
2021-05,78
2021-06,79
2021-07,83
2021-08,78
2021-09,70
2021-10,73
2021-11,66
2021-12,68
2022-01,73
2022-02,82
2022-03,83
2022-04,76
2022-05,81
2022-06,87
2022-07,91
2022-08,85
2022-09,81
2022-10,76
2022-11,74
2022-12,72
2023-01,76
2023-02,78
2023-03,78
2023-04,84
2023-05,86
2023-06,84
2023-07,85
2023-08,84
2023-09,73
2023-10,74
2023-11,70
2023-12,73
2024-01,75
2024-02,83
2024-03,81
2024-04,88
2024-05,95
2024-06,89
2024-07,92
2024-08,89
2024-09,78
2024-10,79
2024-11,82
2024-12,90
