Category: All categories

Month,gout: (Chicago IL)
2014-01,62
2014-02,62
2014-03,74
2014-04,79
2014-05,71
2014-06,69
2014-07,80
2014-08,74
2014-09,75
2014-10,83
2014-11,63
2014-12,73
2015-01,76
2015-02,65
2015-03,77
2015-04,70
2015-05,77
2015-06,78
2015-07,88
2015-08,80
2015-09,82
2015-10,69
2015-11,71
2015-12,74
2016-01,69
2016-02,73
2016-03,76
2016-04,75
2016-05,75
2016-06,81
2016-07,76
2016-08,77
2016-09,70
2016-10,71
2016-11,69
2016-12,70
2017-01,74
2017-02,79
2017-03,81
2017-04,82
2017-05,81
2017-06,84
2017-07,86
2017-08,84
2017-09,80
2017-10,71
2017-11,76
2017-12,76
2018-01,79
2018-02,80
2018-03,80
2018-04,81
2018-05,83
2018-06,91
2018-07,100
2018-08,92
2018-09,86
2018-10,74
2018-11,81
2018-12,83
2019-01,86
2019-02,86
2019-03,85
2019-04,83
2019-05,88
2019-06,86
2019-07,86
2019-08,92
2019-09,87
2019-10,77
2019-11,78
2019-12,78
2020-01,81
2020-02,82
2020-03,66
2020-04,74
2020-05,76
2020-06,81
2020-07,85
2020-08,86
2020-09,76
2020-10,73
2020-11,72
2020-12,74
2021-01,75
2021-02,79
2021-03,79
2021-04,87
2021-05,84
2021-06,92
2021-07,85
2021-08,83
2021-09,80
2021-10,78
2021-11,77
2021-12,71
2022-01,83
2022-02,83
2022-03,86
2022-04,83
2022-05,82
2022-06,94
2022-07,95
2022-08,100
2022-09,83
2022-10,79
2022-11,77
2022-12,75
2023-01,83
2023-02,87
2023-03,90
2023-04,86
2023-05,86
2023-06,94
2023-07,90
2023-08,84
2023-09,76
2023-10,79
2023-11,76
2023-12,80
2024-01,79
2024-02,89
2024-03,77
2024-04,79
2024-05,88
2024-06,93
2024-07,80
2024-08,86
2024-09,88
2024-10,79
2024-11,77
2024-12,84
