Category: All categories

Month,gout: (Portland OR)
2014-01,36
2014-02,41
2014-03,71
2014-04,44
2014-05,50
2014-06,45
2014-07,48
2014-08,47
2014-09,47
2014-10,41
2014-11,39
2014-12,37
2015-01,41
2015-02,35
2015-03,39
2015-04,34
2015-05,49
2015-06,81
2015-07,78
2015-08,83
2015-09,69
2015-10,72
2015-11,70
2015-12,80
2016-01,58
2016-02,64
2016-03,56
2016-04,68
2016-05,67
2016-06,71
2016-07,69
2016-08,69
2016-09,56
2016-10,64
2016-11,63
2016-12,61
2017-01,74
2017-02,59
2017-03,69
2017-04,79
2017-05,75
2017-06,70
2017-07,81
2017-08,65
2017-09,68
2017-10,69
2017-11,67
2017-12,71
2018-01,80
2018-02,71
2018-03,88
2018-04,80
2018-05,80
2018-06,85
2018-07,92
2018-08,81
2018-09,76
2018-10,85
2018-11,87
2018-12,84
2019-01,81
2019-02,80
2019-03,92
2019-04,87
2019-05,86
2019-06,81
2019-07,89
2019-08,80
2019-09,86
2019-10,75
2019-11,75
2019-12,80
2020-01,86
2020-02,80
2020-03,64
2020-04,76
2020-05,79
2020-06,77
2020-07,79
2020-08,73
2020-09,69
2020-10,71
2020-11,73
2020-12,77
2021-01,81
2021-02,74
2021-03,72
2021-04,85
2021-05,81
2021-06,82
2021-07,83
2021-08,78
2021-09,70
2021-10,70
2021-11,74
2021-12,64
2022-01,76
2022-02,82
2022-03,77
2022-04,68
2022-05,85
2022-06,99
2022-07,100
2022-08,100
2022-09,88
2022-10,74
2022-11,72
2022-12,68
2023-01,82
2023-02,87
2023-03,93
2023-04,84
2023-05,85
2023-06,82
2023-07,90
2023-08,78
2023-09,82
2023-10,69
2023-11,83
2023-12,72
2024-01,92
2024-02,83
2024-03,69
2024-04,77
2024-05,78
2024-06,84
2024-07,75
2024-08,86
2024-09,78
2024-10,65
2024-11,81
2024-12,94
