Category: All categories

Month,gout: (Philadelphia PA)
2014-01,67
2014-02,71
2014-03,66
2014-04,76
2014-05,77
2014-06,81
2014-07,91
2014-08,73
2014-09,77
2014-10,79
2014-11,73
2014-12,69
2015-01,80
2015-02,70
2015-03,80
2015-04,83
2015-05,88
2015-06,82
2015-07,81
2015-08,88
2015-09,83
2015-10,70
2015-11,80
2015-12,73
2016-01,69
2016-02,68
2016-03,71
2016-04,74
2016-05,77
2016-06,81
2016-07,84
2016-08,82
2016-09,74
2016-10,74
2016-11,61
2016-12,70
2017-01,76
2017-02,79
2017-03,76
2017-04,82
2017-05,80
2017-06,87
2017-07,95
2017-08,82
2017-09,83
2017-10,72
2017-11,74
2017-12,72
2018-01,77
2018-02,80
2018-03,74
2018-04,86
2018-05,89
2018-06,89
2018-07,99
2018-08,93
2018-09,81
2018-10,77
2018-11,72
2018-12,73
2019-01,87
2019-02,79
2019-03,79
2019-04,91
2019-05,88
2019-06,93
2019-07,91
2019-08,93
2019-09,89
2019-10,81
2019-11,72
2019-12,84
2020-01,84
2020-02,84
2020-03,75
2020-04,79
2020-05,81
2020-06,83
2020-07,85
2020-08,81
2020-09,67
2020-10,71
2020-11,69
2020-12,79
2021-01,83
2021-02,74
2021-03,82
2021-04,84
2021-05,89
2021-06,92
2021-07,76
2021-08,86
2021-09,89
2021-10,74
2021-11,69
2021-12,76
2022-01,74
2022-02,92
2022-03,87
2022-04,81
2022-05,87
2022-06,96
2022-07,100
2022-08,92
2022-09,81
2022-10,87
2022-11,75
2022-12,84
2023-01,83
2023-02,88
2023-03,85
2023-04,90
2023-05,91
2023-06,99
2023-07,95
2023-08,99
2023-09,78
2023-10,78
2023-11,75
2023-12,86
2024-01,86
2024-02,84
2024-03,85
2024-04,93
2024-05,93
2024-06,93
2024-07,91
2024-08,88
2024-09,78
2024-10,84
2024-11,80
2024-12,92
