Category: All categories

Month,gout: (Phoenix AZ)
2014-01,73
2014-02,75
2014-03,85
2014-04,84
2014-05,78
2014-06,82
2014-07,82
2014-08,78
2014-09,79
2014-10,95
2014-11,76
2014-12,87
2015-01,81
2015-02,88
2015-03,85
2015-04,89
2015-05,89
2015-06,76
2015-07,75
2015-08,79
2015-09,82
2015-10,78
2015-11,83
2015-12,80
2016-01,81
2016-02,78
2016-03,86
2016-04,73
2016-05,82
2016-06,83
2016-07,78
2016-08,79
2016-09,76
2016-10,82
2016-11,81
2016-12,78
2017-01,79
2017-02,85
2017-03,88
2017-04,92
2017-05,82
2017-06,92
2017-07,85
2017-08,82
2017-09,80
2017-10,85
2017-11,81
2017-12,83
2018-01,76
2018-02,90
2018-03,83
2018-04,90
2018-05,96
2018-06,89
2018-07,92
2018-08,87
2018-09,88
2018-10,80
2018-11,72
2018-12,86
2019-01,98
2019-02,88
2019-03,93
2019-04,95
2019-05,95
2019-06,90
2019-07,90
2019-08,86
2019-09,88
2019-10,86
2019-11,92
2019-12,83
2020-01,93
2020-02,90
2020-03,74
2020-04,80
2020-05,82
2020-06,85
2020-07,76
2020-08,79
2020-09,82
2020-10,81
2020-11,81
2020-12,72
2021-01,84
2021-02,83
2021-03,80
2021-04,80
2021-05,91
2021-06,87
2021-07,88
2021-08,82
2021-09,77
2021-10,73
2021-11,82
2021-12,84
2022-01,89
2022-02,84
2022-03,94
2022-04,87
2022-05,90
2022-06,100
2022-07,87
2022-08,95
2022-09,92
2022-10,87
2022-11,76
2022-12,87
2023-01,83
2023-02,82
2023-03,92
2023-04,92
2023-05,91
2023-06,99
2023-07,93
2023-08,86
2023-09,82
2023-10,85
2023-11,90
2023-12,85
2024-01,85
2024-02,88
2024-03,90
2024-04,91
2024-05,94
2024-06,100
2024-07,87
2024-08,78
2024-09,83
2024-10,91
2024-11,82
2024-12,87
