Category: All categories

Month,gout: (Pittsburgh PA)
2014-01,75
2014-02,64
2014-03,64
2014-04,69
2014-05,80
2014-06,80
2014-07,73
2014-08,71
2014-09,66
2014-10,81
2014-11,60
2014-12,89
2015-01,73
2015-02,83
2015-03,77
2015-04,78
2015-05,88
2015-06,78
2015-07,91
2015-08,78
2015-09,65
2015-10,55
2015-11,66
2015-12,62
2016-01,69
2016-02,74
2016-03,77
2016-04,70
2016-05,75
2016-06,78
2016-07,80
2016-08,69
2016-09,73
2016-10,73
2016-11,60
2016-12,72
2017-01,85
2017-02,74
2017-03,73
2017-04,86
2017-05,80
2017-06,86
2017-07,86
2017-08,90
2017-09,67
2017-10,70
2017-11,76
2017-12,73
2018-01,82
2018-02,81
2018-03,80
2018-04,92
2018-05,96
2018-06,93
2018-07,95
2018-08,92
2018-09,84
2018-10,77
2018-11,67
2018-12,77
2019-01,92
2019-02,78
2019-03,89
2019-04,92
2019-05,85
2019-06,96
2019-07,100
2019-08,82
2019-09,78
2019-10,80
2019-11,79
2019-12,79
2020-01,84
2020-02,82
2020-03,75
2020-04,76
2020-05,78
2020-06,82
2020-07,84
2020-08,95
2020-09,80
2020-10,77
2020-11,67
2020-12,78
2021-01,82
2021-02,82
2021-03,78
2021-04,77
2021-05,82
2021-06,96
2021-07,79
2021-08,86
2021-09,69
2021-10,71
2021-11,70
2021-12,77
2022-01,90
2022-02,76
2022-03,87
2022-04,84
2022-05,92
2022-06,99
2022-07,98
2022-08,86
2022-09,82
2022-10,73
2022-11,76
2022-12,76
2023-01,78
2023-02,90
2023-03,92
2023-04,97
2023-05,100
2023-06,93
2023-07,99
2023-08,80
2023-09,81
2023-10,87
2023-11,76
2023-12,88
2024-01,82
2024-02,83
2024-03,84
2024-04,82
2024-05,91
2024-06,96
2024-07,90
2024-08,81
2024-09,86
2024-10,80
2024-11,75
2024-12,85
