Category: All categories

Month,gout: (San Diego CA)
2014-01,70
2014-02,69
2014-03,65
2014-04,65
2014-05,73
2014-06,73
2014-07,75
2014-08,73
2014-09,81
2014-10,76
2014-11,56
2014-12,73
2015-01,72
2015-02,63
2015-03,72
2015-04,62
2015-05,71
2015-06,79
2015-07,77
2015-08,76
2015-09,73
2015-10,58
2015-11,57
2015-12,60
2016-01,67
2016-02,62
2016-03,70
2016-04,67
2016-05,68
2016-06,73
2016-07,70
2016-08,76
2016-09,73
2016-10,73
2016-11,56
2016-12,79
2017-01,63
2017-02,67
2017-03,77
2017-04,87
2017-05,67
2017-06,68
2017-07,72
2017-08,68
2017-09,76
2017-10,75
2017-11,64
2017-12,62
2018-01,72
2018-02,68
2018-03,70
2018-04,75
2018-05,80
2018-06,79
2018-07,88
2018-08,88
2018-09,80
2018-10,76
2018-11,66
2018-12,76
2019-01,78
2019-02,80
2019-03,84
2019-04,82
2019-05,76
2019-06,79
2019-07,84
2019-08,93
2019-09,87
2019-10,80
2019-11,70
2019-12,69
2020-01,77
2020-02,78
2020-03,66
2020-04,80
2020-05,78
2020-06,78
2020-07,82
2020-08,80
2020-09,79
2020-10,72
2020-11,74
2020-12,68
2021-01,73
2021-02,77
2021-03,68
2021-04,76
2021-05,78
2021-06,79
2021-07,91
2021-08,79
2021-09,76
2021-10,76
2021-11,71
2021-12,73
2022-01,77
2022-02,73
2022-03,89
2022-04,80
2022-05,80
2022-06,97
2022-07,87
2022-08,94
2022-09,88
2022-10,89
2022-11,72
2022-12,73
2023-01,75
2023-02,78
2023-03,82
2023-04,83
2023-05,79
2023-06,83
2023-07,93
2023-08,86
2023-09,81
2023-10,79
2023-11,84
2023-12,81
2024-01,77
2024-02,83
2024-03,75
2024-04,81
2024-05,94
2024-06,89
2024-07,85
2024-08,100
2024-09,92
2024-10,83
2024-11,92
2024-12,97
