Category: All categories

Month,gout: (San Antonio TX)
2014-01,63
2014-02,64
2014-03,70
2014-04,70
2014-05,71
2014-06,73
2014-07,79
2014-08,65
2014-09,83
2014-10,90
2014-11,62
2014-12,74
2015-01,89
2015-02,68
2015-03,68
2015-04,65
2015-05,78
2015-06,89
2015-07,69
2015-08,74
2015-09,66
2015-10,67
2015-11,78
2015-12,73
2016-01,78
2016-02,65
2016-03,63
2016-04,62
2016-05,60
2016-06,66
2016-07,67
2016-08,66
2016-09,74
2016-10,77
2016-11,65
2016-12,71
2017-01,71
2017-02,74
2017-03,74
2017-04,82
2017-05,68
2017-06,80
2017-07,70
2017-08,85
2017-09,81
2017-10,86
2017-11,86
2017-12,66
2018-01,83
2018-02,79
2018-03,76
2018-04,84
2018-05,80
2018-06,84
2018-07,97
2018-08,83
2018-09,99
2018-10,75
2018-11,83
2018-12,78
2019-01,88
2019-02,91
2019-03,82
2019-04,92
2019-05,89
2019-06,89
2019-07,77
2019-08,76
2019-09,89
2019-10,67
2019-11,75
2019-12,81
2020-01,92
2020-02,77
2020-03,66
2020-04,72
2020-05,65
2020-06,81
2020-07,71
2020-08,63
2020-09,77
2020-10,75
2020-11,72
2020-12,77
2021-01,72
2021-02,60
2021-03,75
2021-04,75
2021-05,74
2021-06,68
2021-07,74
2021-08,75
2021-09,80
2021-10,76
2021-11,65
2021-12,71
2022-01,73
2022-02,73
2022-03,93
2022-04,79
2022-05,90
2022-06,98
2022-07,83
2022-08,91
2022-09,98
2022-10,90
2022-11,85
2022-12,75
2023-01,80
2023-02,87
2023-03,91
2023-04,79
2023-05,95
2023-06,92
2023-07,85
2023-08,81
2023-09,86
2023-10,77
2023-11,85
2023-12,80
2024-01,89
2024-02,89
2024-03,79
2024-04,83
2024-05,82
2024-06,83
2024-07,76
2024-08,75
2024-09,89
2024-10,84
2024-11,100
2024-12,86
