Category: All categories

Month,gout: (Seattle-Tacoma WA)
2014-01,72
2014-02,73
2014-03,72
2014-04,82
2014-05,86
2014-06,77
2014-07,89
2014-08,82
2014-09,90
2014-10,90
2014-11,78
2014-12,86
2015-01,86
2015-02,85
2015-03,93
2015-04,86
2015-05,84
2015-06,87
2015-07,92
2015-08,83
2015-09,75
2015-10,76
2015-11,75
2015-12,76
2016-01,81
2016-02,77
2016-03,84
2016-04,78
2016-05,79
2016-06,87
2016-07,92
2016-08,77
2016-09,74
2016-10,71
2016-11,73
2016-12,70
2017-01,76
2017-02,79
2017-03,80
2017-04,82
2017-05,81
2017-06,98
2017-07,94
2017-08,88
2017-09,79
2017-10,80
2017-11,72
2017-12,84
2018-01,88
2018-02,79
2018-03,90
2018-04,92
2018-05,90
2018-06,92
2018-07,100
2018-08,91
2018-09,91
2018-10,81
2018-11,90
2018-12,90
2019-01,92
2019-02,86
2019-03,90
2019-04,94
2019-05,92
2019-06,95
2019-07,96
2019-08,99
2019-09,89
2019-10,88
2019-11,82
2019-12,88
2020-01,88
2020-02,89
2020-03,75
2020-04,81
2020-05,85
2020-06,83
2020-07,93
2020-08,92
2020-09,80
2020-10,80
2020-11,81
2020-12,82
2021-01,88
2021-02,84
2021-03,82
2021-04,87
2021-05,92
2021-06,88
2021-07,92
2021-08,82
2021-09,86
2021-10,74
2021-11,77
2021-12,77
2022-01,92
2022-02,95
2022-03,86
2022-04,85
2022-05,84
2022-06,94
2022-07,94
2022-08,97
2022-09,85
2022-10,84
2022-11,77
2022-12,75
2023-01,84
2023-02,85
2023-03,91
2023-04,90
2023-05,96
2023-06,96
2023-07,99
2023-08,100
2023-09,83
2023-10,72
2023-11,87
2023-12,94
2024-01,87
2024-02,90
2024-03,89
2024-04,95
2024-05,97
2024-06,91
2024-07,95
2024-08,93
2024-09,90
2024-10,86
2024-11,82
2024-12,99
