Category: All categories

Month,gout: (San Francisco-Oakland-San Jose CA)
2014-01,67
2014-02,66
2014-03,65
2014-04,69
2014-05,65
2014-06,66
2014-07,80
2014-08,67
2014-09,75
2014-10,69
2014-11,63
2014-12,64
2015-01,68
2015-02,63
2015-03,71
2015-04,73
2015-05,67
2015-06,74
2015-07,68
2015-08,75
2015-09,66
2015-10,66
2015-11,64
2015-12,62
2016-01,62
2016-02,66
2016-03,60
2016-04,64
2016-05,59
2016-06,69
2016-07,66
2016-08,68
2016-09,64
2016-10,72
2016-11,58
2016-12,57
2017-01,60
2017-02,64
2017-03,71
2017-04,74
2017-05,75
2017-06,70
2017-07,87
2017-08,80
2017-09,78
2017-10,69
2017-11,66
2017-12,65
2018-01,74
2018-02,68
2018-03,78
2018-04,77
2018-05,75
2018-06,84
2018-07,87
2018-08,77
2018-09,77
2018-10,74
2018-11,74
2018-12,75
2019-01,83
2019-02,82
2019-03,83
2019-04,78
2019-05,75
2019-06,84
2019-07,85
2019-08,81
2019-09,80
2019-10,72
2019-11,68
2019-12,76
2020-01,78
2020-02,71
2020-03,58
2020-04,67
2020-05,76
2020-06,84
2020-07,76
2020-08,75
2020-09,68
2020-10,73
2020-11,73
2020-12,74
2021-01,69
2021-02,77
2021-03,72
2021-04,71
2021-05,83
2021-06,91
2021-07,89
2021-08,83
2021-09,85
2021-10,74
2021-11,71
2021-12,68
2022-01,75
2022-02,76
2022-03,82
2022-04,76
2022-05,86
2022-06,91
2022-07,88
2022-08,96
2022-09,86
2022-10,78
2022-11,64
2022-12,75
2023-01,79
2023-02,79
2023-03,85
2023-04,90
2023-05,90
2023-06,97
2023-07,99
2023-08,87
2023-09,87
2023-10,80
2023-11,71
2023-12,81
2024-01,83
2024-02,84
2024-03,81
2024-04,89
2024-05,90
2024-06,94
2024-07,100
2024-08,90
2024-09,90
2024-10,84
2024-11,86
2024-12,91
