Category: All categories

Month,gout: (Washington DC (Hagerstown MD))
2014-01,66
2014-02,62
2014-03,63
2014-04,67
2014-05,69
2014-06,67
2014-07,71
2014-08,75
2014-09,70
2014-10,79
2014-11,58
2014-12,71
2015-01,70
2015-02,56
2015-03,65
2015-04,66
2015-05,74
2015-06,84
2015-07,82
2015-08,85
2015-09,80
2015-10,71
2015-11,78
2015-12,80
2016-01,77
2016-02,73
2016-03,73
2016-04,78
2016-05,71
2016-06,77
2016-07,80
2016-08,78
2016-09,74
2016-10,71
2016-11,73
2016-12,73
2017-01,68
2017-02,77
2017-03,72
2017-04,93
2017-05,81
2017-06,78
2017-07,89
2017-08,93
2017-09,89
2017-10,76
2017-11,71
2017-12,72
2018-01,84
2018-02,78
2018-03,82
2018-04,87
2018-05,75
2018-06,88
2018-07,98
2018-08,82
2018-09,93
2018-10,78
2018-11,83
2018-12,78
2019-01,93
2019-02,90
2019-03,97
2019-04,87
2019-05,95
2019-06,93
2019-07,93
2019-08,92
2019-09,90
2019-10,86
2019-11,75
2019-12,78
2020-01,86
2020-02,89
2020-03,73
2020-04,81
2020-05,84
2020-06,83
2020-07,89
2020-08,87
2020-09,80
2020-10,74
2020-11,76
2020-12,73
2021-01,80
2021-02,84
2021-03,80
2021-04,78
2021-05,78
2021-06,87
2021-07,90
2021-08,84
2021-09,80
2021-10,75
2021-11,72
2021-12,82
2022-01,86
2022-02,84
2022-03,89
2022-04,88
2022-05,92
2022-06,100
2022-07,100
2022-08,93
2022-09,88
2022-10,81
2022-11,83
2022-12,79
2023-01,88
2023-02,92
2023-03,87
2023-04,88
2023-05,90
2023-06,85
2023-07,92
2023-08,83
2023-09,82
2023-10,82
2023-11,76
2023-12,86
2024-01,87
2024-02,80
2024-03,80
2024-04,90
2024-05,91
2024-06,91
2024-07,94
2024-08,88
2024-09,82
2024-10,76
2024-11,85
2024-12,100
