Category: All categories

Month,gout: (Alberta)
2014-01,67
2014-02,69
2014-03,65
2014-04,72
2014-05,83
2014-06,74
2014-07,78
2014-08,77
2014-09,80
2014-10,83
2014-11,69
2014-12,74
2015-01,74
2015-02,68
2015-03,75
2015-04,77
2015-05,81
2015-06,90
2015-07,80
2015-08,75
2015-09,69
2015-10,69
2015-11,75
2015-12,66
2016-01,71
2016-02,80
2016-03,78
2016-04,78
2016-05,75
2016-06,83
2016-07,86
2016-08,78
2016-09,72
2016-10,67
2016-11,73
2016-12,72
2017-01,80
2017-02,81
2017-03,79
2017-04,74
2017-05,86
2017-06,87
2017-07,98
2017-08,90
2017-09,75
2017-10,69
2017-11,78
2017-12,76
2018-01,78
2018-02,78
2018-03,87
2018-04,77
2018-05,83
2018-06,87
2018-07,87
2018-08,87
2018-09,79
2018-10,81
2018-11,78
2018-12,80
2019-01,87
2019-02,80
2019-03,94
2019-04,89
2019-05,85
2019-06,93
2019-07,93
2019-08,90
2019-09,81
2019-10,80
2019-11,84
2019-12,84
2020-01,88
2020-02,83
2020-03,75
2020-04,77
2020-05,86
2020-06,89
2020-07,84
2020-08,90
2020-09,74
2020-10,79
2020-11,78
2020-12,84
2021-01,92
2021-02,80
2021-03,91
2021-04,91
2021-05,90
2021-06,92
2021-07,100
2021-08,95
2021-09,87
2021-10,86
2021-11,77
2021-12,75
2022-01,79
2022-02,73
2022-03,79
2022-04,77
2022-05,84
2022-06,93
2022-07,95
2022-08,99
2022-09,88
2022-10,87
2022-11,74
2022-12,74
2023-01,80
2023-02,85
2023-03,90
2023-04,89
2023-05,90
2023-06,97
2023-07,90
2023-08,94
2023-09,81
2023-10,82
2023-11,85
2023-12,90
2024-01,88
2024-02,84
2024-03,81
2024-04,95
2024-05,94
2024-06,85
2024-07,96
2024-08,98
2024-09,83
2024-10,84
2024-11,79
2024-12,91
