Category: All categories

Month,gout: (Québec)
2014-01,41
2014-02,41
2014-03,40
2014-04,39
2014-05,38
2014-06,36
2014-07,37
2014-08,41
2014-09,41
2014-10,39
2014-11,41
2014-12,44
2015-01,41
2015-02,41
2015-03,47
2015-04,42
2015-05,40
2015-06,42
2015-07,40
2015-08,40
2015-09,41
2015-10,37
2015-11,43
2015-12,44
2016-01,48
2016-02,49
2016-03,100
2016-04,50
2016-05,48
2016-06,44
2016-07,47
2016-08,45
2016-09,45
2016-10,50
2016-11,59
2016-12,59
2017-01,53
2017-02,51
2017-03,50
2017-04,53
2017-05,43
2017-06,49
2017-07,46
2017-08,47
2017-09,46
2017-10,51
2017-11,52
2017-12,56
2018-01,53
2018-02,53
2018-03,52
2018-04,55
2018-05,49
2018-06,46
2018-07,52
2018-08,49
2018-09,55
2018-10,53
2018-11,53
2018-12,64
2019-01,60
2019-02,56
2019-03,57
2019-04,53
2019-05,52
2019-06,51
2019-07,51
2019-08,50
2019-09,56
2019-10,50
2019-11,53
2019-12,55
2020-01,52
2020-02,51
2020-03,50
2020-04,58
2020-05,59
2020-06,52
2020-07,53
2020-08,53
2020-09,57
2020-10,59
2020-11,65
2020-12,84
2021-01,73
2021-02,63
2021-03,62
2021-04,62
2021-05,62
2021-06,50
2021-07,57
2021-08,62
2021-09,63
2021-10,60
2021-11,59
2021-12,69
2022-01,74
2022-02,68
2022-03,64
2022-04,73
2022-05,64
2022-06,67
2022-07,73
2022-08,65
2022-09,65
2022-10,74
2022-11,77
2022-12,79
2023-01,74
2023-02,68
2023-03,75
2023-04,70
2023-05,64
2023-06,68
2023-07,69
2023-08,68
2023-09,68
2023-10,69
2023-11,70
2023-12,80
2024-01,71
2024-02,74
2024-03,74
2024-04,72
2024-05,72
2024-06,64
2024-07,67
2024-08,70
2024-09,69
2024-10,71
2024-11,67
2024-12,75
