Category: All categories

Month,gout: (Saskatchewan)
2014-01,55
2014-02,60
2014-03,58
2014-04,50
2014-05,69
2014-06,67
2014-07,68
2014-08,78
2014-09,60
2014-10,62
2014-11,65
2014-12,73
2015-01,73
2015-02,46
2015-03,58
2015-04,72
2015-05,67
2015-06,69
2015-07,72
2015-08,62
2015-09,58
2015-10,60
2015-11,53
2015-12,60
2016-01,60
2016-02,67
2016-03,67
2016-04,86
2016-05,59
2016-06,60
2016-07,60
2016-08,61
2016-09,57
2016-10,70
2016-11,60
2016-12,68
2017-01,76
2017-02,67
2017-03,74
2017-04,72
2017-05,69
2017-06,80
2017-07,90
2017-08,73
2017-09,61
2017-10,64
2017-11,74
2017-12,71
2018-01,77
2018-02,67
2018-03,73
2018-04,69
2018-05,83
2018-06,86
2018-07,72
2018-08,68
2018-09,75
2018-10,71
2018-11,69
2018-12,72
2019-01,71
2019-02,70
2019-03,71
2019-04,71
2019-05,77
2019-06,73
2019-07,73
2019-08,78
2019-09,65
2019-10,84
2019-11,60
2019-12,75
2020-01,96
2020-02,75
2020-03,72
2020-04,73
2020-05,84
2020-06,71
2020-07,82
2020-08,81
2020-09,59
2020-10,75
2020-11,61
2020-12,70
2021-01,100
2021-02,70
2021-03,68
2021-04,75
2021-05,75
2021-06,77
2021-07,84
2021-08,74
2021-09,70
2021-10,63
2021-11,62
2021-12,60
2022-01,55
2022-02,62
2022-03,64
2022-04,72
2022-05,74
2022-06,85
2022-07,80
2022-08,73
2022-09,73
2022-10,62
2022-11,63
2022-12,70
2023-01,79
2023-02,75
2023-03,74
2023-04,81
2023-05,74
2023-06,78
2023-07,60
2023-08,72
2023-09,67
2023-10,70
2023-11,74
2023-12,72
2024-01,71
2024-02,60
2024-03,76
2024-04,72
2024-05,65
2024-06,82
2024-07,71
2024-08,78
2024-09,67
2024-10,55
2024-11,75
2024-12,85
