Category: All categories

Month,gout: (Ontario)
2014-01,62
2014-02,65
2014-03,70
2014-04,78
2014-05,76
2014-06,78
2014-07,82
2014-08,78
2014-09,80
2014-10,81
2014-11,66
2014-12,78
2015-01,70
2015-02,73
2015-03,75
2015-04,82
2015-05,86
2015-06,87
2015-07,86
2015-08,86
2015-09,77
2015-10,71
2015-11,75
2015-12,77
2016-01,74
2016-02,74
2016-03,75
2016-04,75
2016-05,81
2016-06,85
2016-07,86
2016-08,81
2016-09,73
2016-10,76
2016-11,73
2016-12,72
2017-01,83
2017-02,76
2017-03,81
2017-04,85
2017-05,85
2017-06,88
2017-07,92
2017-08,90
2017-09,81
2017-10,76
2017-11,76
2017-12,81
2018-01,79
2018-02,79
2018-03,85
2018-04,82
2018-05,91
2018-06,87
2018-07,96
2018-08,91
2018-09,84
2018-10,78
2018-11,75
2018-12,80
2019-01,88
2019-02,80
2019-03,85
2019-04,86
2019-05,87
2019-06,94
2019-07,96
2019-08,87
2019-09,83
2019-10,75
2019-11,78
2019-12,86
2020-01,83
2020-02,83
2020-03,76
2020-04,80
2020-05,85
2020-06,93
2020-07,91
2020-08,87
2020-09,77
2020-10,81
2020-11,75
2020-12,79
2021-01,99
2021-02,88
2021-03,86
2021-04,84
2021-05,93
2021-06,92
2021-07,94
2021-08,91
2021-09,76
2021-10,84
2021-11,74
2021-12,71
2022-01,73
2022-02,74
2022-03,83
2022-04,77
2022-05,94
2022-06,98
2022-07,100
2022-08,97
2022-09,84
2022-10,78
2022-11,75
2022-12,76
2023-01,82
2023-02,81
2023-03,83
2023-04,91
2023-05,90
2023-06,96
2023-07,97
2023-08,89
2023-09,78
2023-10,77
2023-11,79
2023-12,88
2024-01,88
2024-02,85
2024-03,89
2024-04,83
2024-05,100
2024-06,94
2024-07,90
2024-08,98
2024-09,89
2024-10,84
2024-11,86
2024-12,93
