Category: All categories

Month,gout: (Anchorage AK)
2014-01,37
2014-02,0
2014-03,0
2014-04,62
2014-05,0
2014-06,66
2014-07,54
2014-08,51
2014-09,44
2014-10,52
2014-11,73
2014-12,76
2015-01,46
2015-02,56
2015-03,68
2015-04,55
2015-05,68
2015-06,61
2015-07,81
2015-08,0
2015-09,40
2015-10,67
2015-11,41
2015-12,73
2016-01,49
2016-02,41
2016-03,56
2016-04,42
2016-05,55
2016-06,76
2016-07,62
2016-08,63
2016-09,0
2016-10,70
2016-11,0
2016-12,53
2017-01,0
2017-02,53
2017-03,66
2017-04,95
2017-05,63
2017-06,61
2017-07,0
2017-08,60
2017-09,100
2017-10,54
2017-11,40
2017-12,0
2018-01,43
2018-02,41
2018-03,0
2018-04,41
2018-05,74
2018-06,70
2018-07,60
2018-08,61
2018-09,54
2018-10,68
2018-11,70
2018-12,56
2019-01,52
2019-02,48
2019-03,86
2019-04,56
2019-05,52
2019-06,68
2019-07,64
2019-08,71
2019-09,63
2019-10,71
2019-11,66
2019-12,61
2020-01,56
2020-02,80
2020-03,55
2020-04,60
2020-05,52
2020-06,65
2020-07,42
2020-08,0
2020-09,49
2020-10,77
2020-11,73
2020-12,66
2021-01,0
2021-02,53
2021-03,65
2021-04,66
2021-05,62
2021-06,59
2021-07,63
2021-08,71
2021-09,88
2021-10,73
2021-11,61
2021-12,0
2022-01,61
2022-02,61
2022-03,56
2022-04,65
2022-05,66
2022-06,88
2022-07,73
2022-08,82
2022-09,67
2022-10,85
2022-11,68
2022-12,50
2023-01,86
2023-02,54
2023-03,90
2023-04,65
2023-05,76
2023-06,92
2023-07,62
2023-08,54
2023-09,55
2023-10,44
2023-11,35
2023-12,65
2024-01,78
2024-02,89
2024-03,72
2024-04,35
