Category: All categories

Month,gout: (Atlanta GA)
2004-01,64
2004-02,72
2004-03,77
2004-04,61
2004-05,63
2004-06,95
2004-07,0
2004-08,0
2004-09,85
2004-10,69
2004-11,76
2004-12,88
2005-01,80
2005-02,90
2005-03,84
2005-04,70
2005-05,70
2005-06,64
2005-07,62
2005-08,54
2005-09,57
2005-10,51
2005-11,82
2005-12,51
2006-01,75
2006-02,63
2006-03,63
2006-04,54
2006-05,47
2006-06,71
2006-07,78
2006-08,71
2006-09,67
2006-10,67
2006-11,62
2006-12,64
2007-01,59
2007-02,60
2007-03,58
2007-04,64
2007-05,64
2007-06,75
2007-07,75
2007-08,72
2007-09,69
2007-10,52
2007-11,51
2007-12,57
2008-01,62
2008-02,55
2008-03,66
2008-04,62
2008-05,63
2008-06,79
2008-07,71
2008-08,68
2008-09,53
2008-10,67
2008-11,56
2008-12,56
2009-01,70
2009-02,71
2009-03,71
2009-04,63
2009-05,67
2009-06,70
2009-07,77
2009-08,71
2009-09,63
2009-10,74
2009-11,63
2009-12,74
2010-01,61
2010-02,83
2010-03,64
2010-04,81
2010-05,75
2010-06,82
2010-07,80
2010-08,82
2010-09,62
2010-10,95
2010-11,83
2010-12,60
2011-01,100
2011-02,87
2011-03,87
2011-04,100
2011-05,91
2011-06,87
2011-07,97
2011-08,97
2011-09,85
2011-10,91
2011-11,83
2011-12,68
2012-01,86
2012-02,80
2012-03,73
2012-04,73
2012-05,79
2012-06,63
2012-07,78
2012-08,67
2012-09,70
2012-10,65
2012-11,69
2012-12,69
2013-01,65
2013-02,61
2013-03,73
2013-04,72
2013-05,67
2013-06,75
2013-07,74
2013-08,73
2013-09,70
2013-10,72
2013-11,64
2013-12,62
2014-01,67
2014-02,65
2014-03,66
2014-04,79
2014-05,76
2014-06,85
2014-07,80
2014-08,64
2014-09,76
2014-10,74
2014-11,76
2014-12,73
2015-01,77
2015-02,58
2015-03,68
2015-04,82
2015-05,77
2015-06,76
2015-07,85
2015-08,79
2015-09,78
2015-10,78
2015-11,82
2015-12,79
2016-01,73
2016-02,70
2016-03,74
2016-04,82
2016-05,77
2016-06,83
2016-07,80
2016-08,77
2016-09,73
2016-10,73
2016-11,73
2016-12,73
2017-01,79
2017-02,80
2017-03,81
2017-04,82
2017-05,85
2017-06,89
2017-07,86
2017-08,80
2017-09,74
2017-10,81
2017-11,71
2017-12,71
2018-01,81
2018-02,86
2018-03,82
2018-04,91
2018-05,85
2018-06,92
2018-07,92
2018-08,81
2018-09,84
2018-10,80
2018-11,72
2018-12,77
2019-01,90
2019-02,86
2019-03,88
2019-04,85
2019-05,86
2019-06,96
2019-07,86
2019-08,86
2019-09,81
2019-10,84
2019-11,81
2019-12,78
2020-01,87
2020-02,80
2020-03,68
2020-04,66
2020-05,78
2020-06,78
2020-07,80
2020-08,74
2020-09,73
2020-10,70
2020-11,74
2020-12,78
2021-01,76
2021-02,79
2021-03,79
2021-04,81
2021-05,84
2021-06,87
2021-07,80
2021-08,73
2021-09,74
2021-10,75
2021-11,82
2021-12,82
2022-01,77
2022-02,81
2022-03,75
2022-04,78
2022-05,83
2022-06,92
2022-07,84
2022-08,81
2022-09,85
2022-10,73
2022-11,74
2022-12,75
2023-01,77
2023-02,92
2023-03,81
2023-04,85
2023-05,90
2023-06,98
2023-07,88
2023-08,82
2023-09,76
2023-10,77
2023-11,75
2023-12,72
2024-01,87
2024-02,82
2024-03,79
2024-04,75
