Category: All categories

Month,gout: (Austin TX)
2014-01,68
2014-02,69
2014-03,74
2014-04,70
2014-05,77
2014-06,91
2014-07,92
2014-08,89
2014-09,67
2014-10,93
2014-11,70
2014-12,92
2015-01,77
2015-02,69
2015-03,71
2015-04,65
2015-05,85
2015-06,93
2015-07,81
2015-08,62
2015-09,68
2015-10,73
2015-11,72
2015-12,83
2016-01,65
2016-02,59
2016-03,75
2016-04,69
2016-05,74
2016-06,78
2016-07,68
2016-08,68
2016-09,59
2016-10,72
2016-11,76
2016-12,75
2017-01,65
2017-02,76
2017-03,70
2017-04,97
2017-05,75
2017-06,85
2017-07,92
2017-08,69
2017-09,76
2017-10,77
2017-11,86
2017-12,71
2018-01,76
2018-02,68
2018-03,86
2018-04,89
2018-05,81
2018-06,81
2018-07,91
2018-08,93
2018-09,82
2018-10,65
2018-11,64
2018-12,75
2019-01,85
2019-02,75
2019-03,92
2019-04,73
2019-05,83
2019-06,88
2019-07,100
2019-08,82
2019-09,78
2019-10,78
2019-11,86
2019-12,81
2020-01,79
2020-02,79
2020-03,77
2020-04,60
2020-05,80
2020-06,82
2020-07,85
2020-08,81
2020-09,69
2020-10,91
2020-11,70
2020-12,74
2021-01,70
2021-02,73
2021-03,83
2021-04,91
2021-05,78
2021-06,84
2021-07,93
2021-08,75
2021-09,71
2021-10,71
2021-11,75
2021-12,81
2022-01,76
2022-02,70
2022-03,82
2022-04,71
2022-05,76
2022-06,75
2022-07,75
2022-08,86
2022-09,72
2022-10,73
2022-11,76
2022-12,84
2023-01,83
2023-02,79
2023-03,84
2023-04,83
2023-05,89
2023-06,93
2023-07,84
2023-08,74
2023-09,71
2023-10,75
2023-11,71
2023-12,73
2024-01,76
2024-02,83
2024-03,81
2024-04,83
