Category: All categories

Month,gout: (Nashville TN)
2014-01,68
2014-02,73
2014-03,66
2014-04,78
2014-05,78
2014-06,71
2014-07,90
2014-08,75
2014-09,66
2014-10,73
2014-11,79
2014-12,86
2015-01,87
2015-02,64
2015-03,66
2015-04,80
2015-05,83
2015-06,86
2015-07,81
2015-08,75
2015-09,61
2015-10,59
2015-11,77
2015-12,80
2016-01,73
2016-02,74
2016-03,68
2016-04,76
2016-05,73
2016-06,72
2016-07,69
2016-08,71
2016-09,73
2016-10,88
2016-11,64
2016-12,71
2017-01,83
2017-02,76
2017-03,92
2017-04,77
2017-05,83
2017-06,83
2017-07,84
2017-08,70
2017-09,77
2017-10,80
2017-11,84
2017-12,65
2018-01,77
2018-02,66
2018-03,85
2018-04,80
2018-05,100
2018-06,86
2018-07,97
2018-08,71
2018-09,79
2018-10,80
2018-11,73
2018-12,77
2019-01,75
2019-02,87
2019-03,79
2019-04,95
2019-05,80
2019-06,79
2019-07,91
2019-08,78
2019-09,71
2019-10,81
2019-11,68
2019-12,94
2020-01,81
2020-02,73
2020-03,68
2020-04,89
2020-05,83
2020-06,80
2020-07,80
2020-08,73
2020-09,71
2020-10,71
2020-11,72
2020-12,76
2021-01,67
2021-02,68
2021-03,66
2021-04,73
2021-05,75
2021-06,71
2021-07,79
2021-08,72
2021-09,74
2021-10,86
2021-11,79
2021-12,64
2022-01,74
2022-02,76
2022-03,75
2022-04,73
2022-05,75
2022-06,89
2022-07,86
2022-08,80
2022-09,90
2022-10,77
2022-11,68
2022-12,67
2023-01,78
2023-02,77
2023-03,82
2023-04,80
2023-05,83
2023-06,75
2023-07,65
2023-08,76
2023-09,70
2023-10,64
2023-11,79
2023-12,75
2024-01,76
2024-02,60
2024-03,74
2024-04,76
