Category: All categories

Month,gout: (Boise ID)
2014-01,61
2014-02,57
2014-03,56
2014-04,55
2014-05,60
2014-06,0
2014-07,100
2014-08,55
2014-09,45
2014-10,52
2014-11,50
2014-12,79
2015-01,0
2015-02,55
2015-03,58
2015-04,38
2015-05,46
2015-06,45
2015-07,82
2015-08,58
2015-09,70
2015-10,64
2015-11,26
2015-12,46
2016-01,46
2016-02,52
2016-03,58
2016-04,66
2016-05,43
2016-06,63
2016-07,50
2016-08,41
2016-09,38
2016-10,47
2016-11,55
2016-12,46
2017-01,52
2017-02,38
2017-03,60
2017-04,59
2017-05,45
2017-06,65
2017-07,93
2017-08,69
2017-09,60
2017-10,63
2017-11,53
2017-12,0
2018-01,44
2018-02,57
2018-03,59
2018-04,64
2018-05,78
2018-06,59
2018-07,72
2018-08,51
2018-09,76
2018-10,70
2018-11,62
2018-12,44
2019-01,57
2019-02,58
2019-03,76
2019-04,83
2019-05,77
2019-06,58
2019-07,96
2019-08,51
2019-09,75
2019-10,53
2019-11,61
2019-12,51
2020-01,53
2020-02,53
2020-03,41
2020-04,42
2020-05,52
2020-06,58
2020-07,64
2020-08,54
2020-09,55
2020-10,52
2020-11,63
2020-12,43
2021-01,40
2021-02,54
2021-03,64
2021-04,58
2021-05,59
2021-06,54
2021-07,63
2021-08,53
2021-09,82
2021-10,55
2021-11,43
2021-12,53
2022-01,55
2022-02,58
2022-03,58
2022-04,50
2022-05,57
2022-06,63
2022-07,91
2022-08,68
2022-09,53
2022-10,64
2022-11,50
2022-12,55
2023-01,55
2023-02,50
2023-03,54
2023-04,67
2023-05,75
2023-06,68
2023-07,55
2023-08,73
2023-09,66
2023-10,47
2023-11,72
2023-12,48
2024-01,44
2024-02,74
2024-03,55
2024-04,64
