Category: All categories,
,
Month,gout: (Boston MA)
2004-01,0
2004-02,51
2004-03,0
2004-04,50
2004-05,59
2004-06,71
2004-07,83
2004-08,65
2004-09,79
2004-10,43
2004-11,52
2004-12,41
2005-01,56
2005-02,66
2005-03,31
2005-04,66
2005-05,76
2005-06,62
2005-07,49
2005-08,45
2005-09,70
2005-10,25
2005-11,54
2005-12,61
2006-01,74
2006-02,49
2006-03,53
2006-04,67
2006-05,53
2006-06,66
2006-07,91
2006-08,70
2006-09,62
2006-10,39
2006-11,66
2006-12,59
2007-01,67
2007-02,45
2007-03,52
2007-04,63
2007-05,62
2007-06,78
2007-07,79
2007-08,67
2007-09,51
2007-10,54
2007-11,65
2007-12,52
2008-01,34
2008-02,49
2008-03,66
2008-04,61
2008-05,57
2008-06,76
2008-07,80
2008-08,75
2008-09,54
2008-10,60
2008-11,59
2008-12,63
2009-01,51
2009-02,57
2009-03,72
2009-04,67
2009-05,63
2009-06,75
2009-07,74
2009-08,88
2009-09,59
2009-10,61
2009-11,62
2009-12,44
2010-01,70
2010-02,54
2010-03,75
2010-04,70
2010-05,75
2010-06,87
2010-07,84
2010-08,82
2010-09,58
2010-10,93
2010-11,91
2010-12,75
2011-01,81
2011-02,71
2011-03,77
2011-04,82
2011-05,79
2011-06,91
2011-07,95
2011-08,100
2011-09,91
2011-10,81
2011-11,68
2011-12,53
2012-01,77
2012-02,77
2012-03,61
2012-04,78
2012-05,72
2012-06,77
2012-07,79
2012-08,79
2012-09,65
2012-10,60
2012-11,65
2012-12,70
2013-01,71
2013-02,61
2013-03,70
2013-04,66
2013-05,71
2013-06,79
2013-07,73
2013-08,78
2013-09,63
2013-10,56
2013-11,59
2013-12,66
2014-01,64
2014-02,50
2014-03,62
2014-04,68
2014-05,80
2014-06,78
2014-07,85
2014-08,75
2014-09,81
2014-10,83
2014-11,72
2014-12,70
2015-01,65
2015-02,62
2015-03,72
2015-04,78
2015-05,77
2015-06,80
2015-07,85
2015-08,82
2015-09,79
2015-10,65
2015-11,68
2015-12,70
2016-01,65
2016-02,63
2016-03,73
2016-04,74
2016-05,77
2016-06,82
2016-07,87
2016-08,77
2016-09,62
2016-10,59
2016-11,65
2016-12,65
2017-01,61
2017-02,72
2017-03,73
2017-04,70
2017-05,73
2017-06,76
2017-07,80
2017-08,85
2017-09,69
2017-10,63
2017-11,63
2017-12,72
2018-01,70
2018-02,76
2018-03,72
2018-04,78
2018-05,83
2018-06,87
2018-07,92
2018-08,95
2018-09,76
2018-10,63
2018-11,65
2018-12,85
2019-01,84
2019-02,81
2019-03,82
2019-04,81
2019-05,84
2019-06,93
2019-07,89
2019-08,94
2019-09,84
2019-10,74
2019-11,63
2019-12,65
2020-01,89
2020-02,76
2020-03,68
2020-04,68
2020-05,78
2020-06,83
2020-07,86
2020-08,86
2020-09,71
2020-10,75
2020-11,70
2020-12,75
2021-01,72
2021-02,80
2021-03,76
2021-04,84
2021-05,80
2021-06,84
2021-07,89
2021-08,89
2021-09,76
2021-10,70
2021-11,75
2021-12,77
2022-01,66
2022-02,72
2022-03,80
2022-04,79
2022-05,79
2022-06,88
2022-07,94
2022-08,90
2022-09,78
2022-10,74
2022-11,72
2022-12,80
2023-01,76
2023-02,84
2023-03,75
2023-04,91
2023-05,88
2023-06,90
2023-07,93
2023-08,89
2023-09,73
2023-10,71
2023-11,74
2023-12,71
2024-01,86
2024-02,81
2024-03,85
2024-04,74
