Category: All categories

Month,gout: (Charlotte NC)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,84
2006-02,86
2006-03,62
2006-04,0
2006-05,62
2006-06,0
2006-07,0
2006-08,57
2006-09,76
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,49
2007-05,0
2007-06,43
2007-07,54
2007-08,100
2007-09,43
2007-10,42
2007-11,38
2007-12,0
2008-01,49
2008-02,55
2008-03,54
2008-04,0
2008-05,43
2008-06,48
2008-07,37
2008-08,39
2008-09,58
2008-10,27
2008-11,47
2008-12,0
2009-01,47
2009-02,39
2009-03,62
2009-04,42
2009-05,54
2009-06,33
2009-07,48
2009-08,33
2009-09,62
2009-10,66
2009-11,37
2009-12,0
2010-01,36
2010-02,54
2010-03,40
2010-04,58
2010-05,62
2010-06,50
2010-07,56
2010-08,59
2010-09,41
2010-10,50
2010-11,46
2010-12,61
2011-01,53
2011-02,56
2011-03,59
2011-04,48
2011-05,73
2011-06,66
2011-07,62
2011-08,53
2011-09,47
2011-10,43
2011-11,48
2011-12,39
2012-01,62
2012-02,55
2012-03,54
2012-04,48
2012-05,49
2012-06,54
2012-07,53
2012-08,42
2012-09,45
2012-10,47
2012-11,45
2012-12,43
2013-01,51
2013-02,48
2013-03,48
2013-04,54
2013-05,44
2013-06,44
2013-07,58
2013-08,54
2013-09,49
2013-10,44
2013-11,45
2013-12,41
2014-01,43
2014-02,42
2014-03,45
2014-04,45
2014-05,45
2014-06,50
2014-07,52
2014-08,45
2014-09,49
2014-10,44
2014-11,37
2014-12,46
2015-01,47
2015-02,40
2015-03,46
2015-04,53
2015-05,50
2015-06,51
2015-07,53
2015-08,53
2015-09,57
2015-10,42
2015-11,49
2015-12,48
2016-01,50
2016-02,43
2016-03,46
2016-04,47
2016-05,49
2016-06,49
2016-07,51
2016-08,50
2016-09,48
2016-10,44
2016-11,43
2016-12,46
2017-01,51
2017-02,42
2017-03,48
2017-04,51
2017-05,48
2017-06,58
2017-07,54
2017-08,53
2017-09,48
2017-10,51
2017-11,51
2017-12,48
2018-01,50
2018-02,51
2018-03,43
2018-04,47
2018-05,54
2018-06,55
2018-07,53
2018-08,54
2018-09,59
2018-10,43
2018-11,49
2018-12,48
2019-01,48
2019-02,47
2019-03,53
2019-04,53
2019-05,56
2019-06,61
2019-07,52
2019-08,60
2019-09,57
2019-10,51
2019-11,45
2019-12,52
2020-01,62
2020-02,56
2020-03,49
2020-04,53
2020-05,49
2020-06,60
2020-07,48
2020-08,42
2020-09,45
2020-10,49
2020-11,47
2020-12,47
2021-01,44
2021-02,48
2021-03,50
2021-04,53
2021-05,51
2021-06,54
2021-07,54
2021-08,48
2021-09,44
2021-10,49
2021-11,46
2021-12,52
2022-01,56
2022-02,48
2022-03,60
2022-04,54
2022-05,57
2022-06,61
2022-07,57
2022-08,58
2022-09,55
2022-10,57
2022-11,51
2022-12,54
2023-01,51
2023-02,61
2023-03,58
2023-04,61
2023-05,61
2023-06,62
2023-07,59
2023-08,51
2023-09,45
2023-10,55
2023-11,56
2023-12,45
2024-01,55
2024-02,53
2024-03,53
2024-04,52
