Category: All categories

Month,gout: (Cincinnati OH)
2014-01,56
2014-02,55
2014-03,74
2014-04,76
2014-05,85
2014-06,79
2014-07,74
2014-08,71
2014-09,90
2014-10,75
2014-11,60
2014-12,73
2015-01,68
2015-02,67
2015-03,62
2015-04,73
2015-05,85
2015-06,67
2015-07,81
2015-08,80
2015-09,71
2015-10,49
2015-11,89
2015-12,67
2016-01,73
2016-02,69
2016-03,73
2016-04,72
2016-05,71
2016-06,90
2016-07,80
2016-08,86
2016-09,62
2016-10,80
2016-11,66
2016-12,80
2017-01,83
2017-02,72
2017-03,70
2017-04,79
2017-05,67
2017-06,100
2017-07,87
2017-08,79
2017-09,78
2017-10,70
2017-11,79
2017-12,59
2018-01,98
2018-02,78
2018-03,93
2018-04,87
2018-05,86
2018-06,94
2018-07,84
2018-08,96
2018-09,82
2018-10,75
2018-11,72
2018-12,82
2019-01,73
2019-02,73
2019-03,81
2019-04,88
2019-05,71
2019-06,81
2019-07,81
2019-08,88
2019-09,77
2019-10,87
2019-11,80
2019-12,81
2020-01,67
2020-02,84
2020-03,74
2020-04,65
2020-05,86
2020-06,77
2020-07,83
2020-08,78
2020-09,76
2020-10,84
2020-11,64
2020-12,81
2021-01,73
2021-02,74
2021-03,77
2021-04,87
2021-05,95
2021-06,82
2021-07,65
2021-08,78
2021-09,71
2021-10,82
2021-11,62
2021-12,69
2022-01,91
2022-02,71
2022-03,86
2022-04,79
2022-05,87
2022-06,85
2022-07,84
2022-08,91
2022-09,95
2022-10,83
2022-11,65
2022-12,65
2023-01,77
2023-02,93
2023-03,94
2023-04,73
2023-05,100
2023-06,85
2023-07,82
2023-08,70
2023-09,68
2023-10,72
2023-11,73
2023-12,80
2024-01,62
2024-02,80
2024-03,82
2024-04,79
