Category: All categories

Month,gout: (Denver CO)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,88
2004-11,0
2004-12,100
2005-01,0
2005-02,0
2005-03,89
2005-04,81
2005-05,0
2005-06,0
2005-07,0
2005-08,70
2005-09,60
2005-10,0
2005-11,0
2005-12,64
2006-01,56
2006-02,60
2006-03,85
2006-04,58
2006-05,54
2006-06,47
2006-07,49
2006-08,52
2006-09,0
2006-10,50
2006-11,50
2006-12,48
2007-01,60
2007-02,64
2007-03,50
2007-04,68
2007-05,57
2007-06,71
2007-07,87
2007-08,75
2007-09,51
2007-10,65
2007-11,67
2007-12,40
2008-01,61
2008-02,55
2008-03,59
2008-04,51
2008-05,60
2008-06,59
2008-07,78
2008-08,77
2008-09,59
2008-10,64
2008-11,52
2008-12,56
2009-01,54
2009-02,74
2009-03,50
2009-04,54
2009-05,71
2009-06,77
2009-07,79
2009-08,69
2009-09,78
2009-10,71
2009-11,68
2009-12,54
2010-01,82
2010-02,81
2010-03,71
2010-04,74
2010-05,94
2010-06,82
2010-07,68
2010-08,68
2010-09,67
2010-10,92
2010-11,74
2010-12,76
2011-01,74
2011-02,64
2011-03,78
2011-04,82
2011-05,73
2011-06,73
2011-07,91
2011-08,80
2011-09,74
2011-10,90
2011-11,75
2011-12,67
2012-01,90
2012-02,79
2012-03,69
2012-04,66
2012-05,71
2012-06,86
2012-07,88
2012-08,70
2012-09,68
2012-10,55
2012-11,60
2012-12,64
2013-01,61
2013-02,56
2013-03,65
2013-04,77
2013-05,62
2013-06,67
2013-07,74
2013-08,73
2013-09,68
2013-10,63
2013-11,57
2013-12,60
2014-01,68
2014-02,67
2014-03,60
2014-04,63
2014-05,69
2014-06,77
2014-07,81
2014-08,62
2014-09,67
2014-10,65
2014-11,62
2014-12,67
2015-01,70
2015-02,53
2015-03,64
2015-04,60
2015-05,65
2015-06,80
2015-07,77
2015-08,65
2015-09,63
2015-10,71
2015-11,66
2015-12,70
2016-01,64
2016-02,56
2016-03,69
2016-04,69
2016-05,73
2016-06,62
2016-07,71
2016-08,67
2016-09,73
2016-10,70
2016-11,72
2016-12,71
2017-01,74
2017-02,78
2017-03,62
2017-04,80
2017-05,68
2017-06,82
2017-07,74
2017-08,75
2017-09,72
2017-10,61
2017-11,66
2017-12,62
2018-01,63
2018-02,72
2018-03,69
2018-04,74
2018-05,73
2018-06,82
2018-07,88
2018-08,78
2018-09,69
2018-10,59
2018-11,62
2018-12,69
2019-01,79
2019-02,74
2019-03,78
2019-04,81
2019-05,76
2019-06,85
2019-07,86
2019-08,82
2019-09,76
2019-10,73
2019-11,67
2019-12,73
2020-01,75
2020-02,76
2020-03,63
2020-04,65
2020-05,74
2020-06,80
2020-07,73
2020-08,77
2020-09,55
2020-10,60
2020-11,68
2020-12,76
2021-01,71
2021-02,73
2021-03,70
2021-04,76
2021-05,74
2021-06,80
2021-07,81
2021-08,78
2021-09,68
2021-10,62
2021-11,66
2021-12,66
2022-01,67
2022-02,73
2022-03,72
2022-04,68
2022-05,79
2022-06,89
2022-07,94
2022-08,78
2022-09,74
2022-10,63
2022-11,69
2022-12,66
2023-01,72
2023-02,83
2023-03,71
2023-04,82
2023-05,81
2023-06,83
2023-07,87
2023-08,79
2023-09,66
2023-10,71
2023-11,71
2023-12,75
2024-01,75
2024-02,75
2024-03,79
2024-04,74
