Category: All categories

Month,gout: (Dallas TX)
2014-01,78
2014-02,76
2014-03,73
2014-04,80
2014-05,85
2014-06,83
2014-07,86
2014-08,80
2014-09,83
2014-10,86
2014-11,76
2014-12,80
2015-01,74
2015-02,78
2015-03,86
2015-04,79
2015-05,81
2015-06,86
2015-07,89
2015-08,86
2015-09,85
2015-10,92
2015-11,86
2015-12,82
2016-01,81
2016-02,76
2016-03,83
2016-04,77
2016-05,80
2016-06,87
2016-07,82
2016-08,79
2016-09,81
2016-10,84
2016-11,76
2016-12,64
2017-01,81
2017-02,73
2017-03,84
2017-04,83
2017-05,86
2017-06,87
2017-07,88
2017-08,87
2017-09,77
2017-10,81
2017-11,84
2017-12,87
2018-01,86
2018-02,85
2018-03,88
2018-04,97
2018-05,93
2018-06,98
2018-07,96
2018-08,89
2018-09,92
2018-10,84
2018-11,88
2018-12,91
2019-01,97
2019-02,97
2019-03,88
2019-04,94
2019-05,89
2019-06,100
2019-07,99
2019-08,92
2019-09,87
2019-10,89
2019-11,85
2019-12,88
2020-01,93
2020-02,83
2020-03,83
2020-04,79
2020-05,81
2020-06,90
2020-07,88
2020-08,78
2020-09,79
2020-10,78
2020-11,79
2020-12,86
2021-01,85
2021-02,87
2021-03,83
2021-04,80
2021-05,84
2021-06,93
2021-07,87
2021-08,83
2021-09,80
2021-10,97
2021-11,84
2021-12,83
2022-01,87
2022-02,88
2022-03,85
2022-04,87
2022-05,84
2022-06,89
2022-07,90
2022-08,87
2022-09,85
2022-10,86
2022-11,80
2022-12,83
2023-01,89
2023-02,85
2023-03,79
2023-04,85
2023-05,92
2023-06,93
2023-07,95
2023-08,88
2023-09,80
2023-10,82
2023-11,79
2023-12,78
2024-01,79
2024-02,81
2024-03,82
2024-04,86
