Category: All categories

Month,gout: (Detroit MI)
2014-01,63
2014-02,62
2014-03,65
2014-04,67
2014-05,71
2014-06,90
2014-07,92
2014-08,71
2014-09,75
2014-10,76
2014-11,56
2014-12,80
2015-01,76
2015-02,63
2015-03,76
2015-04,71
2015-05,72
2015-06,74
2015-07,81
2015-08,76
2015-09,67
2015-10,64
2015-11,68
2015-12,67
2016-01,68
2016-02,66
2016-03,67
2016-04,72
2016-05,75
2016-06,77
2016-07,71
2016-08,68
2016-09,73
2016-10,64
2016-11,62
2016-12,68
2017-01,69
2017-02,72
2017-03,80
2017-04,81
2017-05,81
2017-06,87
2017-07,86
2017-08,83
2017-09,77
2017-10,68
2017-11,65
2017-12,72
2018-01,71
2018-02,77
2018-03,82
2018-04,80
2018-05,84
2018-06,88
2018-07,92
2018-08,92
2018-09,78
2018-10,76
2018-11,71
2018-12,71
2019-01,79
2019-02,76
2019-03,82
2019-04,83
2019-05,89
2019-06,87
2019-07,91
2019-08,90
2019-09,82
2019-10,74
2019-11,76
2019-12,86
2020-01,74
2020-02,81
2020-03,62
2020-04,67
2020-05,70
2020-06,77
2020-07,86
2020-08,75
2020-09,65
2020-10,63
2020-11,67
2020-12,73
2021-01,79
2021-02,79
2021-03,77
2021-04,76
2021-05,81
2021-06,82
2021-07,83
2021-08,81
2021-09,73
2021-10,68
2021-11,71
2021-12,75
2022-01,72
2022-02,80
2022-03,86
2022-04,85
2022-05,92
2022-06,85
2022-07,96
2022-08,94
2022-09,86
2022-10,83
2022-11,73
2022-12,81
2023-01,85
2023-02,80
2023-03,78
2023-04,87
2023-05,78
2023-06,100
2023-07,94
2023-08,85
2023-09,77
2023-10,78
2023-11,71
2023-12,77
2024-01,76
2024-02,80
2024-03,81
2024-04,79
