Category: All categories

Month,gout: (Houston TX)
2004-01,0
2004-02,82
2004-03,0
2004-04,0
2004-05,0
2004-06,71
2004-07,0
2004-08,0
2004-09,0
2004-10,100
2004-11,90
2004-12,70
2005-01,83
2005-02,0
2005-03,71
2005-04,0
2005-05,0
2005-06,53
2005-07,0
2005-08,77
2005-09,58
2005-10,58
2005-11,54
2005-12,0
2006-01,55
2006-02,55
2006-03,69
2006-04,60
2006-05,64
2006-06,58
2006-07,0
2006-08,47
2006-09,33
2006-10,0
2006-11,49
2006-12,34
2007-01,39
2007-02,28
2007-03,53
2007-04,37
2007-05,51
2007-06,54
2007-07,46
2007-08,42
2007-09,47
2007-10,49
2007-11,62
2007-12,35
2008-01,45
2008-02,47
2008-03,41
2008-04,51
2008-05,43
2008-06,39
2008-07,44
2008-08,57
2008-09,33
2008-10,45
2008-11,44
2008-12,33
2009-01,57
2009-02,55
2009-03,52
2009-04,35
2009-05,47
2009-06,60
2009-07,60
2009-08,45
2009-09,55
2009-10,47
2009-11,42
2009-12,47
2010-01,37
2010-02,43
2010-03,40
2010-04,52
2010-05,63
2010-06,41
2010-07,52
2010-08,70
2010-09,63
2010-10,76
2010-11,67
2010-12,66
2011-01,70
2011-02,67
2011-03,65
2011-04,65
2011-05,65
2011-06,63
2011-07,62
2011-08,70
2011-09,63
2011-10,64
2011-11,49
2011-12,46
2012-01,57
2012-02,58
2012-03,54
2012-04,55
2012-05,53
2012-06,48
2012-07,50
2012-08,43
2012-09,44
2012-10,44
2012-11,46
2012-12,45
2013-01,45
2013-02,49
2013-03,55
2013-04,55
2013-05,48
2013-06,47
2013-07,52
2013-08,45
2013-09,50
2013-10,47
2013-11,40
2013-12,43
2014-01,43
2014-02,48
2014-03,46
2014-04,50
2014-05,52
2014-06,53
2014-07,52
2014-08,41
2014-09,46
2014-10,51
2014-11,51
2014-12,51
2015-01,48
2015-02,54
2015-03,55
2015-04,55
2015-05,49
2015-06,51
2015-07,52
2015-08,53
2015-09,49
2015-10,53
2015-11,47
2015-12,51
2016-01,44
2016-02,48
2016-03,53
2016-04,51
2016-05,52
2016-06,49
2016-07,53
2016-08,54
2016-09,49
2016-10,49
2016-11,45
2016-12,49
2017-01,50
2017-02,54
2017-03,54
2017-04,55
2017-05,54
2017-06,54
2017-07,57
2017-08,55
2017-09,52
2017-10,54
2017-11,55
2017-12,51
2018-01,55
2018-02,51
2018-03,59
2018-04,59
2018-05,55
2018-06,60
2018-07,60
2018-08,55
2018-09,56
2018-10,57
2018-11,46
2018-12,55
2019-01,60
2019-02,56
2019-03,59
2019-04,58
2019-05,59
2019-06,60
2019-07,52
2019-08,54
2019-09,58
2019-10,53
2019-11,56
2019-12,54
2020-01,54
2020-02,62
2020-03,52
2020-04,52
2020-05,53
2020-06,54
2020-07,55
2020-08,53
2020-09,52
2020-10,52
2020-11,49
2020-12,55
2021-01,53
2021-02,50
2021-03,56
2021-04,52
2021-05,52
2021-06,54
2021-07,54
2021-08,51
2021-09,52
2021-10,58
2021-11,54
2021-12,55
2022-01,56
2022-02,59
2022-03,55
2022-04,60
2022-05,58
2022-06,57
2022-07,61
2022-08,57
2022-09,59
2022-10,55
2022-11,50
2022-12,51
2023-01,54
2023-02,57
2023-03,62
2023-04,62
2023-05,59
2023-06,58
2023-07,54
2023-08,57
2023-09,54
2023-10,53
2023-11,56
2023-12,51
2024-01,54
2024-02,51
2024-03,53
2024-04,51
